ID,severity,application,role,flow_and_step,route_or_screen,screenshot_evidence,problem,user_impact,classification,source_file_component_api,recommended_change,acceptance_criteria,required_tests_screenshots,dependency_or_owner,safe_implementation_slice,status
PD-P1-01,P1,Public Web,guest,A12 login,/[locale]/login,evidence/web/auth/02_login_en_desktop.png (+ ru/es/it),Debug string "Login step: idle" visible under Sign in,Trust/friction on primary auth action,design+ux,apps/web/app/[locale]/(auth)/login (and related client),Remove debug status from production UI or gate behind NODE_ENV/dev flag; keep internal logging,EN/RU/ES/IT login screenshots show no Login step text; i18n unchanged if no copy keys,visual EN+RU login mobile/desktop; unit if helper extracted,none,Slice 01,OPEN
PD-P1-02,P1,Public Web,guest,A7/A8 legal,/[locale]/privacy|/terms,evidence/web/public/06_privacy_en_desktop.png; 07_terms; 13_privacy_*,Placeholder legal content still public,Pilot legal/trust blocker on R1 path,content+legal,messages/*.json privacy/terms pages,Replace placeholder with counsel-approved Privacy/Terms EN/RU/ES/IT; keep last-updated,No "Placeholder — legal content" on prod screenshots all locales,i18n:check + locale screenshots,legal owner copy,Separate R1 legal slice (not Slice 01 unless copy ready),OPEN
PD-P1-03,P1,Tenant Cabinet,manager,B1 welcome modal,/dashboard,evidence/_local_unpublishable_staging/cabinet/22_dashboard_en_desktop.png; 38_*; 28_*,Welcome modal reappears/blocks navigation across cabinet routes,Blocks Open project and obscures ops; pilot friction,ux,DashboardShell / first-run modal component,Persist dismissal; focus trap; do not block critical nav after Start working; one onboarding surface,After dismiss once per user/tenant session modal does not block projects Open; screenshot without modal on dashboard+projects,playwright dismiss persistence; screenshots,none,Slice 01,OPEN
PD-P1-04,P1,Tenant Cabinet,manager,B3 project IA,/dashboard/projects/[id],evidence/_local_unpublishable_staging/cabinet/36_project_detail_en_desktop.png,Dual tab bars (subnav + bottom ops tabs) without clear hierarchy,Wrong tab / missed decisions; cognitive overload,ux+design,DashboardProjectDetailClient; ProjectSubnav; project-detail-tabs,Unify to single nav model for pilot tabs; keep Costs/Estimate contractor-only clearly labeled,One primary tablist with aria-current; screenshot desktop+mobile; no duplicate competing bars,component test + screenshots,none,Slice 01 candidate if scoped small else Slice 02,OPEN
PD-P1-05,P1,Client Portal,client,C2 client shell,/dashboard/projects/[id]/client,evidence/_local_unpublishable_staging/portal/39_client_portal_view_en_desktop.png,Client view shows contractor DashboardShell + Create first task CTA,Role confusion; risk of wrong actions near finance-adjacent areas,ux+rbac-boundary,ClientPortalViewClient; DashboardShell nav gating,Client/stakeholder shell with reduced nav; role-appropriate CTAs; no contractor onboarding,Client session screenshot: no Workers/Contractors/ADMIN; CTAs match client goals; finance tabs absent,role fixture or staging client user; screenshots EN/RU,may need authorized client persona,Slice 02 (needs persona),OPEN
PD-P1-06,P1,Public Web,guest,A15 reset,N/A,none (matrix NOT_IMPLEMENTED),No forgot-password / reset page,Users cannot recover account via UI,ux+backend,auth routes inventory,Add localized reset entry from login linking to existing Supabase recovery flow if available,Login shows Reset password; EN/RU/ES/IT; no secrets in UI,e2e request-reset (no mailbox assert),auth owner,Slice 02,OPEN
PD-P2-01,P2,Web design,dev,governance,TaskChatPanel,check:design FAIL log,Raw Tailwind text-red-600,Token governance break; inconsistent error color,design,apps/web/components/dashboard/TaskChatPanel.tsx,Replace with aistroyka error token class,check:design PASS,bun run check:design,none,Slice 01 (tiny),OPEN
PD-P2-02,P2,Web design,dev,governance,HelpStartChecklist,code rg,Raw text-green-600 hotspot,Same governance risk,design,apps/web/components/help/HelpStartChecklist.tsx,Use success token,check:design PASS,bun run check:design,none,Slice 01,OPEN
PD-P2-03,P2,Design system,dev,LG tokens,liquid-glass.css,04_DESIGN_SYSTEM_DRIFT.md,31 --lg-* refs with 0 root definitions,Unpredictable glass styling / doc lie,design,design-tokens.css; liquid-glass.css,Define LG roots or remove vars; fix docs,tokens defined or unused; public home screenshot unchanged/better,visual public home,none,Slice 02,OPEN
PD-P2-04,P2,Tenant Cabinet,manager,B1 onboarding density,/dashboard,22_*/38_*,Stacked onboarding widgets + AI Guide FAB + modal,Noise for returning managers,ux,onboarding panels in dashboard,Collapse completed onboarding; progressive disclosure,Returning user dashboard shows ops first; screenshot,staging smoke,none,Slice 02,OPEN
PD-P2-05,P2,iOS Worker,worker,F1 permission,Worker onboarding,evidence/ios/worker/40_worker_launch.png,Notification permission overlays first onboarding screen,Interrupts first-run understanding,ux+a11y,Worker RootView / notification request site,Defer notification prompt until after login or onboarding complete,Simulator screenshot: onboarding readable without system alert on first paint,UITest screenshot,none,Slice 02 iOS,OPEN
PD-P2-06,P2,Public Web,guest,A11 404,not-found,evidence/web/public/10_404_en_desktop.png,404 visually sparse vs marketing shell,Weaker recovery trust,design,not-found UI,Align 404 with public shell + home CTA,404 screenshot matches brand; link home/contact,visual,none,Slice 03,OPEN
PD-P2-07,P2,AI Cabinet,manager,E2 AI status,/dashboard/ai,evidence/_local_unpublishable_staging/ai/28_dashboard_ai_en_desktop.png,AI empty/error under modal; no persistent configured_unverified chip,Users may misread AI readiness,ux+ai-honesty,dashboard AI list UI,Persistent non-LIVE status; never claim LIVE without gate,Screenshot shows configured_unverified/degraded label; no LIVE,visual + no paid call,none,Slice 02,OPEN
PD-P2-08,P2,Platform Admin,owner,D3 Forbidden,/platform-admin,evidence/_local_unpublishable_staging/admin/37_*,Bare white Forbidden page,Poor denied UX,ux,platform-admin layout / forbidden UI,Branded forbidden + link away,Screenshot branded 403,owner session not required for denied state,none,Slice 03,OPEN
PD-P3-01,P3,iOS,manager,G1 capture,Manager app,blocked,Manager simulator capture blocked this run,Evidence gap,process,ios Manager app install,Capture Manager login/home when available sim exists,Manager screenshots in evidence/,device availability,n/a,OPEN
PD-P3-02,P3,Android,deferred,inventory,android/*,none,Deferred foundation drift vs BrandTokens docs,Post-pilot,design,android semantic wrappers,Keep deferred; no parity work,Inventory only,owner mandate,n/a,DEFERRED
PD-P3-03,P3,Platform,IdP,SCIM,/api/v1/scim,none,501 stub,Expected post-pilot,backend,scim.stub.ts,Leave until R9,n/a,n/a,n/a,DEFERRED
PD-P0-NONE,P0,n/a,n/a,n/a,n/a,n/a,No P0 visual/data-exposure defect proven in this audit's accepted screenshots without RBAC proof,n/a,n/a,n/a,Continue monitoring draft security PRs separately from Product Design Slice 01,n/a,n/a,security drafts,n/a,NONE_FOUND
