id,severity,role,route_or_screen,evidence,risk,severity_impact,severity_limit,severity_severity,recommended_check,status
A11Y-01,Public Web,guest,/[locale]/login,evidence/web/auth/02_login_en_desktop.png + DOM sample,Debug status text "Login step: idle" exposed near primary control,Confuses assistive/tech users and reduces trust,Screenshot+DOM; not SR,P1,Remove or gate debug string behind non-prod; retest EN/RU/ES/IT,OPEN
A11Y-02,Public Web,guest,/[locale] home+login,DOM Tab sample /tmp a11y json,Focus visible via yellow box-shadow (good),Low — pattern works on sampled pages,Keyboard sample only 2 tabs; no full order audit,P3,Full keyboard order pass on public+cabinet shells,OBSERVED_OK
A11Y-03,Public Web,guest,home/login/privacy,DOM evaluate,Images sampled have alt; unlabeled button/link count 0 on sampled pages,Baseline OK,Not full WCAG; no screen reader,P3,axe/playwright a11y suite on critical paths,OBSERVED_OK
A11Y-04,Tenant Cabinet,manager,dashboard + many routes,evidence/_local_unpublishable_staging/cabinet/22_* 38_*,First-run Modal (FirstLaunchGuide) has role=dialog/aria-modal but no Escape handler or focus trap/initial focus; dismissal persistence already via localStorage aistroyka:first-launch-guide:v1,Keyboard users may be trapped while first-run overlay is open,Code+automation; SR not run,P1,Add Escape + focus trap/initial focus on Modal/FirstLaunchGuide; do not reimplement persistence,OPEN
A11Y-05,Tenant Cabinet,manager,project detail,evidence/_local_unpublishable_staging/cabinet/36_*,Dual tab bars without clear hierarchy; many targets,Cognitive load; unclear which control is primary,Screenshot,P1,Collapse to one nav model; label aria-current,OPEN
A11Y-06,Tenant Cabinet,manager,cabinet mobile,evidence/_local_unpublishable_staging/cabinet/35_*,High density + FAB AI Guide + modal on small viewport,Touch target / occlusion risk,Screenshot only; no target size measure,P2,Measure 44pt targets; reduce stacked chrome,OPEN
A11Y-07,Client Portal,client,client view,evidence/_local_unpublishable_staging/portal/39_*,Role-mismatched CTA and contractor nav increase wrong-action risk,Client may activate contractor workflows,Screenshot; RBAC not proven via DOM,P1,Client shell with reduced nav; role-appropriate CTAs,OPEN
A11Y-08,Public Web,guest,privacy/terms,evidence/web/public/06_* 07_*,Placeholder legal may be read as real policy,Consent/trust risk for pilot,Screenshot,P1,Replace with counsel-approved copy EN/RU/ES/IT,OPEN
A11Y-09,iOS Worker,worker,onboarding,evidence/ios/worker/40_*,System notification permission overlays onboarding before login,Interrupts first-run reading order,Screenshot; Dynamic Type not tested,P2,Defer notification prompt until after login/value explanation,OPEN
A11Y-10,iOS Manager+Worker,mobile users,primary flows,blocked captures,Dynamic Type / VoiceOver / Reduce Motion not verified,Unknown,No device a11y tooling this run,P2,Simulator Dynamic Type + VoiceOver pass when apps available,BLOCKED_EXTERNAL
A11Y-11,Public Web,guest,all locales,screenshots EN/RU/ES/IT,No major clipping on sampled homes; not a wrap certification,Unknown long-string edge cases,Visual only,P3,200% zoom + longest locale strings on CTAs,OPEN
A11Y-12,AI Cabinet,manager,dashboard/ai,evidence/_local_unpublishable_staging/ai/28_*,Empty/error AI copy under modal; status honesty depends on visible labels,Users may miss degraded state,Screenshot; no LIVE call,P2,Persistent non-modal AI status chip (configured_unverified),OPEN
A11Y-13,Platform Admin,owner,platform-admin/testing,Forbidden capture only,Operations Center a11y not audited,Unknown,Blocked without owner session,P3,Audit when owner session available,BLOCKED_EXTERNAL
A11Y-14,Web,all,TaskChatPanel,check:design FAIL red-600,Raw Tailwind red may break semantic contrast tokens,Inconsistent error emphasis,Code gate,P2,Replace with aistroyka error token,OPEN
