route,surface,intended_min_role,active_tenant_dependency,nav_visibility,empty_state,error_state,mutating_controls,automated_proof,real_e2e_result
/dashboard,dashboard,authenticated_member,yes_via_layout,always_sidebar,valid_overview_empty_ok,layout_redirect_login_or_session_error,read_primary,unit_layout_contract+phase3a_guest,PASS_authenticated_E2E_2026-07-28_owner_authorized_temp_fixture
/dashboard/projects,dashboard,authenticated_member,yes,sidebar,empty_list_ok,QueryBoundary_error_alert,create_project_not_clicked_in_3B,ui_state_mapQueryError+nav_contract,PASS_authenticated_E2E_2026-07-28_owner_authorized_temp_fixture
/dashboard/tasks,dashboard,authenticated_member,yes,sidebar,empty_ok,QueryBoundary_or_page_error,mutating_CTAs_not_exercised,nav_contract,PASS_authenticated_E2E_2026-07-28_owner_authorized_temp_fixture
/dashboard/workers,dashboard,authenticated_member,yes,sidebar,empty_ok,page_error,mutating_CTAs_not_exercised,nav_contract,PASS_authenticated_E2E_2026-07-28_owner_authorized_temp_fixture
/dashboard/contractors,dashboard,authenticated_member,yes,sidebar,empty_ok,page_error,mutating_CTAs_not_exercised,nav_contract,PASS_authenticated_E2E_2026-07-28_owner_authorized_temp_fixture
/dashboard/reports,dashboard,authenticated_member,yes,sidebar,empty_ok,page_error,mutating_CTAs_not_exercised,nav_contract,PASS_authenticated_E2E_2026-07-28_owner_authorized_temp_fixture
/dashboard/approvals,dashboard,authenticated_member,yes,sidebar,empty_ok,page_error,mutating_CTAs_not_exercised,nav_contract,PASS_authenticated_E2E_2026-07-28_owner_authorized_temp_fixture
/dashboard/uploads,dashboard,authenticated_member,yes,sidebar,empty_ok,page_error,upload_not_clicked_in_3B,nav_contract,PASS_authenticated_E2E_2026-07-28_owner_authorized_temp_fixture
/dashboard/devices,dashboard,authenticated_member,yes,sidebar,empty_or_503_without_service_role,page_error,mutating_CTAs_not_exercised,nav_contract,PASS_authenticated_E2E_2026-07-28_owner_authorized_temp_fixture
/dashboard/ai,dashboard,authenticated_member,yes,sidebar,empty_ok,page_error,mutating_CTAs_not_exercised,nav_contract,PASS_authenticated_E2E_2026-07-28_owner_authorized_temp_fixture
/dashboard/alerts,dashboard,authenticated_member,yes,sidebar,empty_ok,page_error,resolve_not_clicked_in_3B,nav_contract,PASS_authenticated_E2E_2026-07-28_owner_authorized_temp_fixture
/dashboard/support,dashboard,authenticated_member,yes,sidebar,empty_ok,page_error,ticket_create_not_clicked_in_3B,nav_contract,PASS_authenticated_E2E_2026-07-28_owner_authorized_temp_fixture
/dashboard/settings/auth,dashboard,authenticated_member,yes,sidebar,settings_form,page_error,auth_settings_not_mutated_in_3B,nav_contract,PASS_authenticated_E2E_2026-07-28_owner_authorized_temp_fixture
/dashboard/help,dashboard,authenticated_member,yes,sidebar,help_content,optional_metrics_401_ignored_in_legacy_audit,read_primary,nav_contract,PASS_authenticated_E2E_2026-07-28_owner_authorized_temp_fixture
/team,dashboard,active_tenant_admin,yes,sidebar_when_canManageTeam,empty_members_ok,redirect_or_deny_non_admin,invite_not_clicked_in_3B,nav_align_contract,PASS_authenticated_E2E_2026-07-28_owner_authorized_temp_fixture
/dashboard/projects/[id],dashboard,project_member,yes,via_projects_list,N/A,404_or_deny,read_primary,requires_E2E_PROJECT_ID_or_discoverable_project,PASS_authenticated_E2E_2026-07-28_owner_authorized_temp_fixture
/admin,tenant_admin,active_tenant_owner_or_admin,yes,admin_nav_when_isAdmin,empty_jobs_ok,layout_redirect_to_dashboard,read_primary_no_write_on_open,requireAdmin_active_tenant_unit+contract,PASS_authenticated_E2E_2026-07-28_owner_authorized_temp_fixture
/admin/jobs,tenant_admin,active_tenant_owner_or_admin,yes_api_ctx,admin_nav,empty_queue_ok,API_403_via_requireAdmin_ctx,retry_job_not_clicked,API_requireAdmin_tests+layout_gate,PASS_authenticated_E2E_2026-07-28_owner_authorized_temp_fixture
/admin/push,tenant_admin,active_tenant_owner_or_admin,yes_api_ctx,admin_nav,empty_outbox_ok,API_403,push_test_not_clicked,API_requireAdmin_tests+layout_gate,PASS_authenticated_E2E_2026-07-28_owner_authorized_temp_fixture
/admin/ai,tenant_admin,active_tenant_owner_or_admin,yes_locked_prop,via_admin_hub_links,no_active_tenant_status,QueryBoundary_error,read_primary,activeTenantId_lock_contract,PASS_authenticated_E2E_2026-07-28_owner_authorized_temp_fixture
/admin/governance,tenant_admin,active_tenant_owner_or_admin,layout_gate_only_no_tenant_col,via_admin_hub,empty_when_tables_absent,error.tsx,ack_actions_not_clicked,layout_gate,PASS_authenticated_E2E_2026-07-28_owner_authorized_temp_fixture
/admin/trust,tenant_admin,active_tenant_owner_or_admin,layout_gate_only_no_tenant_col,via_admin_hub,empty_when_tables_absent,error.tsx,read_primary,layout_gate,PASS_authenticated_E2E_2026-07-28_owner_authorized_temp_fixture
/admin/operator,tenant_admin,active_tenant_owner_or_admin,yes_api_ctx,via_admin_hub,empty_ok,API_403,operator_smoke_not_clicked,API_requireAdmin_tests+layout_gate,PASS_authenticated_E2E_2026-07-28_owner_authorized_temp_fixture
