route_path,methods,audience_paths,guard_location,safe_dto_or_guard,route_test_file,safe_success_test,finance_injection_test,manager_contract_test,alias_test,status,evidence
/api/v1/portal/projects,GET,portal_customer_only,route:jsonWithCustomerFinanceGuard,guard_on_final_json,apps/web/app/api/v1/portal/projects/route.test.ts,returns safe project list for authorized tenant,blocks finance leak of budget_delta_amount without leaking key or value,n/a_not_dual_audience,n/a_not_alias,PROVEN,portal list guarded; safe+unsafe route proofs
/api/v1/portal/projects/:id/change-orders/:changeOrderId,GET,portal_customer_only_forcePublic,route:jsonWithCustomerFinanceGuard+forcePublic,forcePublic_dto_then_guard,apps/web/app/api/v1/portal/projects/[id]/change-orders/[changeOrderId]/route.test.ts,returns safe public detail with commercial fields,blocks finance leak of budget_delta_amount without leaking key or value,n/a_portal_always_customer,returns safe public detail with commercial fields|blocks finance leak of budget_delta_amount without leaking key or value,PROVEN,dedicated portal handler; forcePublic; safe+unsafe alias proofs
/api/v1/portal/projects/:id/change-orders/:changeOrderId/respond,POST,portal_customer_only,route:enforceCustomerFinanceOnJsonResponse,guard_on_final_json_via_wrapper,apps/web/app/api/v1/portal/projects/[id]/change-orders/[changeOrderId]/respond/route.test.ts,returns safe respond payload with commercial fields,blocks finance leak of budget_delta_amount without leaking key or value,n/a_portal_always_customer,alias wrapper preserves safe 200 headers and status via enforce helper|blocks finance leak of budget_delta_amount without leaking key or value,PROVEN,portal POST wrapper; safe+unsafe+header preserve proofs
/api/v1/portal/projects/:id/decisions/:requestId/respond,POST,portal_customer_only,route:enforceCustomerFinanceOnJsonResponse,guard_on_final_json_via_wrapper,apps/web/app/api/v1/portal/projects/[id]/decisions/[requestId]/respond/route.test.ts,returns safe respond payload,blocks finance leak of margin without leaking key or value,n/a_portal_always_customer,alias wrapper preserves safe 200 headers and status via enforce helper|blocks finance leak of margin without leaking key or value,PROVEN,portal POST wrapper; safe+unsafe+header preserve proofs
/api/v1/projects/:id/change-orders,GET|POST,GET_dual;POST_manager_only,GET_stakeholder:jsonWithCustomerFinanceGuard;POST:none_manager,stakeholder_list_guarded;manager_internal_allowed,apps/web/app/api/v1/projects/[id]/change-orders/route.finance.test.ts,returns safe stakeholder list with commercial fields,blocks stakeholder leak of budget_delta_amount without leaking key or value,preserves manager GET internal budget fields without customer guard|preserves manager POST create internal finance fields,n/a_not_alias,PROVEN,dual GET+manager POST proofs
/api/v1/projects/:id/change-orders/:changeOrderId,GET|PATCH,GET_dual;PATCH_manager_only,GET_stakeholder:jsonWithCustomerFinanceGuard;PATCH:none_manager,stakeholder_detail_guarded;manager_internal_allowed,apps/web/app/api/v1/projects/[id]/change-orders/[changeOrderId]/route.finance.test.ts,returns safe stakeholder detail with commercial fields,blocks stakeholder leak of budget_impact_level without leaking key or value,preserves manager GET internal finance fields without customer guard|preserves manager PATCH ok:true exact contract,n/a_not_alias,PROVEN,dual GET+manager PATCH {ok:true} exact keys
/api/v1/projects/:id/change-orders/:changeOrderId/respond,POST,customer_only,route:jsonWithCustomerFinanceGuard,guard_on_final_json,apps/web/app/api/v1/projects/[id]/change-orders/[changeOrderId]/respond/route.finance.test.ts,returns safe respond payload with commercial fields,blocks finance leak of planned_amount without leaking key or value,n/a_customer_only,n/a_not_alias,PROVEN,customer respond guarded
/api/v1/projects/:id/client-portal,PATCH,manager_settings_matrix_customer_facing,route:jsonWithCustomerFinanceGuard,guard_on_final_json,apps/web/app/api/v1/projects/[id]/client-portal/route.finance.test.ts,returns safe settings payload,blocks finance leak of cost_overrun without leaking key or value,n/a_response_always_guarded_by_matrix,n/a_not_alias,PROVEN,settings PATCH guarded defense-in-depth
/api/v1/projects/:id/client-requests,GET|POST,GET_dual;POST_manager_only,GET_stakeholder:jsonWithCustomerFinanceGuard;POST:none_manager,stakeholder_list_guarded;manager_internal_allowed,apps/web/app/api/v1/projects/[id]/client-requests/route.finance.test.ts,returns safe stakeholder list,blocks stakeholder leak of profitability without leaking key or value,preserves manager GET internal finance fields without customer guard|preserves manager POST create payload fields,n/a_not_alias,PROVEN,dual GET+manager POST
/api/v1/projects/:id/client-requests/:requestId,GET|PATCH,GET_dual;PATCH_manager_only,GET_stakeholder:jsonWithCustomerFinanceGuard;PATCH:none_manager,stakeholder_detail_guarded;manager_internal_allowed,apps/web/app/api/v1/projects/[id]/client-requests/[requestId]/route.finance.test.ts,returns safe stakeholder detail,blocks stakeholder leak of subcontractor_cost without leaking key or value,preserves manager GET internal finance fields without customer guard|preserves manager PATCH response payload,n/a_not_alias,PROVEN,dual GET+manager PATCH
/api/v1/projects/:id/client-requests/:requestId/respond,POST,customer_only,route:jsonWithCustomerFinanceGuard,guard_on_final_json,apps/web/app/api/v1/projects/[id]/client-requests/[requestId]/respond/route.finance.test.ts,returns safe respond payload,blocks finance leak of ai_finance_risk without leaking key or value,n/a_customer_only,n/a_not_alias,PROVEN,customer respond guarded
/api/v1/projects/:id/client-view,GET,customer_only,route:jsonWithCustomerFinanceGuard,guard_on_final_json,apps/web/app/api/v1/projects/[id]/client-view/route.test.ts,returns safe shaped data with commercial-safe fields,blocks finance leak of budget_impact_level without leaking key or value,n/a_customer_only,n/a_not_alias,PROVEN,client-view always guarded
/api/v1/projects/:id/decisions,GET,customer_stakeholder_only,route:jsonWithCustomerFinanceGuard,guard_on_final_json,apps/web/app/api/v1/projects/[id]/decisions/route.finance.test.ts,returns safe decisions list,blocks finance leak of project_cost_items without leaking key or value,n/a_customer_only,n/a_not_alias,PROVEN,decisions list guarded
