platform,app,client_profile,source_callsite,method,path,auth_role,project_role,device_id_required,idempotency,lite_policy,local_contract,live_e2e,result,notes
iOS,Worker,ios_worker,WorkerAPI.projects,GET,/api/v1/projects,member,worker,YES,N/A,allowed,PASS,YES,PASS,Project list contract used for mobile discovery
Android,Worker,android_worker,WorkerApi.projects,GET,/api/v1/projects,member,worker,YES,N/A,allowed,PASS,YES,PASS,Parity with iOS Worker discovery
iOS,Worker,ios_worker,WorkerAPI.tasksToday,GET,/api/v1/worker/tasks/today,member,worker,YES,N/A,allowed,PASS,YES,PASS,Worker A sees assigned task and Worker B is denied cross-worker access
Android,Worker,android_worker,WorkerApi.tasksToday,GET,/api/v1/worker/tasks/today,member,worker,YES,N/A,allowed,PASS,YES,PASS,Android worker parity on task discovery
iOS,Worker,ios_worker,WorkerAPI.taskDetail,GET,/api/v1/tasks/:id,member,worker,YES,N/A,allowed,PASS,YES,PASS,Assigned task detail reachable and cross-worker detail denied
Android,Worker,android_worker,WorkerApi.task,GET,/api/v1/tasks/:id,member,worker,YES,N/A,allowed,PASS,YES,PASS,Assigned task detail parity
iOS,Worker,ios_worker,WorkerAPI.startDay/endDay,POST,/api/v1/worker/day/start|/api/v1/worker/day/end,member,worker,YES,required,allowed,PASS,YES,PASS,Day start replay returns same business day row and missing idempotency is rejected
Android,Worker,android_worker,WorkerApi.startDay/endDay,POST,/api/v1/worker/day/start|/api/v1/worker/day/end,member,worker,YES,required,allowed,PASS,YES,PASS,Android profile enforces required idempotency
iOS,Worker,ios_worker,WorkerAPI.createReport/addMedia/submitReport,POST,/api/v1/worker/report/create|/api/v1/worker/report/add-media|/api/v1/worker/report/submit,member,worker,YES,required,allowed,PASS,YES,PASS,Create and submit replay original response under legacy live idempotency
Android,Worker,android_worker,WorkerApi.createReport/addMedia/submitReport,POST,/api/v1/worker/report/create|/api/v1/worker/report/add-media|/api/v1/worker/report/submit,member,worker,YES,required,allowed,PASS,YES,PASS,Native payload omits nullable fields rejected by Zod
iOS,Worker,ios_worker,WorkerAPI.createUploadSession/finalizeUploadSession,POST,/api/v1/media/upload-sessions|/api/v1/media/upload-sessions/:id/finalize,member,worker,YES,required,allowed,PASS,YES,PASS,Synthetic non-PII object upload finalized and wrong-path finalize denied
Android,Worker,android_worker,WorkerApi.createUploadSession/finalizeUploadSession,POST,/api/v1/media/upload-sessions|/api/v1/media/upload-sessions/:id/finalize,member,worker,YES,required,allowed,PASS,YES,PASS,Android media session contract mirrors iOS
iOS,Worker,ios_worker,WorkerAPI.syncBootstrap/syncChanges/syncAck,GET/POST,/api/v1/sync/bootstrap|/api/v1/sync/changes|/api/v1/sync/ack,member,worker,YES,required for ack,allowed,PASS,YES,PASS,Missing device rejected and future cursor returns server_cursor plus serverCursor alias
Android,Worker,android_worker,WorkerApi.syncBootstrap/syncChanges/syncAck,GET/POST,/api/v1/sync/bootstrap|/api/v1/sync/changes|/api/v1/sync/ack,member,worker,YES,required for ack,allowed,PASS,YES,PASS,Independent device cursors and concurrent ack stability covered
iOS,Worker,ios_worker,WorkerAPI.registerDevice/unregisterDevice,POST,/api/v1/devices/register|/api/v1/devices/unregister,member,worker,YES,required,allowed,PASS,YES,PASS,APNS token never logged and live APNS send remains BLOCKED_EXTERNAL
Android,Worker,android_worker,WorkerApi.registerDevice/unregisterDevice,POST,/api/v1/devices/register|/api/v1/devices/unregister,member,worker,YES,required,allowed,PASS,YES,PASS,FCM token registration contract passes and live FCM send remains BLOCKED_EXTERNAL
iOS,Worker,ios_worker,WorkerAPI.workerSync/reportDetail,GET,/api/v1/worker/sync|/api/v1/reports/:id,member,worker,YES,N/A,allowed,PASS,YES,PASS,Own report status feed and manager note visibility contract
Android,Worker,android_worker,WorkerApi.workerSync/reportDetail,GET,/api/v1/worker/sync|/api/v1/reports/:id,member,worker,YES,N/A,allowed,PASS,YES,PASS,Own report status feed parity
iOS,Worker,ios_worker,WorkerAPI.activationStatus/helpHints/helpAssistant/helpAssistantEvent,GET/POST,/api/v1/activation/status|/api/v1/help/hints|/api/v1/help/assistant|/api/v1/help/assistant/events,member,worker,YES,mixed allowed posts,allowed,PASS,YES,PASS,Help and activation callsites remain in active native inventory
