route_path,method,guard_mode,middleware_test,handler_guard_test,anonymous_test,tenant_owner_test,tenant_admin_test,tenant_member_test,stakeholder_test,service_role_test,denial_no_side_effect_test,allowed_role_test,readonly_contract_test,critical_step_up_test,status,evidence
/api/v1/platform/audit,GET,read,apps/web/middleware.platform-negative.test.ts::calls gateOwnerRequest with exact pathname/method for GET /api/v1/platform/audit,apps/web/app/api/v1/platform/audit/route.test.ts::calls requirePlatformOwnerApi first with mode read,apps/web/app/api/v1/platform/audit/route.test.ts::denies anonymous without side effects,apps/web/app/api/v1/platform/audit/route.test.ts::denies tenant_owner without side effects,apps/web/app/api/v1/platform/audit/route.test.ts::denies tenant_admin without side effects,apps/web/app/api/v1/platform/audit/route.test.ts::denies tenant_member without side effects,apps/web/app/api/v1/platform/audit/route.test.ts::denies stakeholder without side effects,apps/web/app/api/v1/platform/audit/route.test.ts::denies service_role without side effects,apps/web/app/api/v1/platform/audit/route.test.ts::denies anonymous without side effects,apps/web/app/api/v1/platform/audit/route.test.ts::allows OWNER_READONLY success branch,"apps/web/lib/platform-owner/require-platform-owner-api.test.ts::read mode allows OWNER_READONLY, OWNER_OPERATOR, OWNER;n/a — GET/read method uses standard read capability (not the safe-audit POST exception)","n/a — guard_mode is read, not critical",PROVEN,"apps/web/middleware.platform-negative.test.ts::calls gateOwnerRequest with exact pathname/method for GET /api/v1/platform/audit;apps/web/app/api/v1/platform/audit/route.test.ts::calls requirePlatformOwnerApi first with mode read;apps/web/app/api/v1/platform/audit/route.test.ts::denies anonymous without side effects;apps/web/app/api/v1/platform/audit/route.test.ts::denies tenant_owner without side effects;apps/web/app/api/v1/platform/audit/route.test.ts::denies tenant_admin without side effects;apps/web/app/api/v1/platform/audit/route.test.ts::denies tenant_member without side effects;apps/web/app/api/v1/platform/audit/route.test.ts::denies stakeholder without side effects;apps/web/app/api/v1/platform/audit/route.test.ts::denies service_role without side effects;apps/web/app/api/v1/platform/audit/route.test.ts::denies anonymous without side effects;apps/web/app/api/v1/platform/audit/route.test.ts::allows OWNER_READONLY success branch;apps/web/lib/platform-owner/require-platform-owner-api.test.ts::read mode allows OWNER_READONLY, OWNER_OPERATOR, OWNER;n/a — GET/read method uses standard read capability (not the safe-audit POST exception);n/a — guard_mode is read, not critical;apps/web/lib/platform-owner/phase2b4-platform-inventory.test.ts::matches expected method and guard-mode counts with UNKNOWN=0"
/api/v1/platform/billing/pilot-status,GET,read,apps/web/middleware.platform-negative.test.ts::calls gateOwnerRequest with exact pathname/method for GET /api/v1/platform/billing/pilot-status,apps/web/app/api/v1/platform/billing/pilot-status/route.test.ts::calls requirePlatformOwnerApi first with mode read,apps/web/app/api/v1/platform/billing/pilot-status/route.test.ts::denies anonymous without side effects,apps/web/app/api/v1/platform/billing/pilot-status/route.test.ts::denies tenant_owner without side effects,apps/web/app/api/v1/platform/billing/pilot-status/route.test.ts::denies tenant_admin without side effects,apps/web/app/api/v1/platform/billing/pilot-status/route.test.ts::denies tenant_member without side effects,apps/web/app/api/v1/platform/billing/pilot-status/route.test.ts::denies stakeholder without side effects,apps/web/app/api/v1/platform/billing/pilot-status/route.test.ts::denies service_role without side effects,apps/web/app/api/v1/platform/billing/pilot-status/route.test.ts::denies anonymous without side effects,apps/web/app/api/v1/platform/billing/pilot-status/route.test.ts::allows OWNER_READONLY success branch,"apps/web/lib/platform-owner/require-platform-owner-api.test.ts::read mode allows OWNER_READONLY, OWNER_OPERATOR, OWNER;n/a — GET/read method uses standard read capability (not the safe-audit POST exception)","n/a — guard_mode is read, not critical",PROVEN,"apps/web/middleware.platform-negative.test.ts::calls gateOwnerRequest with exact pathname/method for GET /api/v1/platform/billing/pilot-status;apps/web/app/api/v1/platform/billing/pilot-status/route.test.ts::calls requirePlatformOwnerApi first with mode read;apps/web/app/api/v1/platform/billing/pilot-status/route.test.ts::denies anonymous without side effects;apps/web/app/api/v1/platform/billing/pilot-status/route.test.ts::denies tenant_owner without side effects;apps/web/app/api/v1/platform/billing/pilot-status/route.test.ts::denies tenant_admin without side effects;apps/web/app/api/v1/platform/billing/pilot-status/route.test.ts::denies tenant_member without side effects;apps/web/app/api/v1/platform/billing/pilot-status/route.test.ts::denies stakeholder without side effects;apps/web/app/api/v1/platform/billing/pilot-status/route.test.ts::denies service_role without side effects;apps/web/app/api/v1/platform/billing/pilot-status/route.test.ts::denies anonymous without side effects;apps/web/app/api/v1/platform/billing/pilot-status/route.test.ts::allows OWNER_READONLY success branch;apps/web/lib/platform-owner/require-platform-owner-api.test.ts::read mode allows OWNER_READONLY, OWNER_OPERATOR, OWNER;n/a — GET/read method uses standard read capability (not the safe-audit POST exception);n/a — guard_mode is read, not critical;apps/web/lib/platform-owner/phase2b4-platform-inventory.test.ts::matches expected method and guard-mode counts with UNKNOWN=0"
/api/v1/platform/billing/pilot-workspaces,GET,read,apps/web/middleware.platform-negative.test.ts::calls gateOwnerRequest with exact pathname/method for GET /api/v1/platform/billing/pilot-workspaces,apps/web/app/api/v1/platform/billing/pilot-workspaces/route.test.ts::calls requirePlatformOwnerApi first with mode read,apps/web/app/api/v1/platform/billing/pilot-workspaces/route.test.ts::denies anonymous without side effects,apps/web/app/api/v1/platform/billing/pilot-workspaces/route.test.ts::denies tenant_owner without side effects,apps/web/app/api/v1/platform/billing/pilot-workspaces/route.test.ts::denies tenant_admin without side effects,apps/web/app/api/v1/platform/billing/pilot-workspaces/route.test.ts::denies tenant_member without side effects,apps/web/app/api/v1/platform/billing/pilot-workspaces/route.test.ts::denies stakeholder without side effects,apps/web/app/api/v1/platform/billing/pilot-workspaces/route.test.ts::denies service_role without side effects,apps/web/app/api/v1/platform/billing/pilot-workspaces/route.test.ts::denies anonymous without side effects,apps/web/app/api/v1/platform/billing/pilot-workspaces/route.test.ts::allows OWNER_READONLY success branch,"apps/web/lib/platform-owner/require-platform-owner-api.test.ts::read mode allows OWNER_READONLY, OWNER_OPERATOR, OWNER;n/a — GET/read method uses standard read capability (not the safe-audit POST exception)","n/a — guard_mode is read, not critical",PROVEN,"apps/web/middleware.platform-negative.test.ts::calls gateOwnerRequest with exact pathname/method for GET /api/v1/platform/billing/pilot-workspaces;apps/web/app/api/v1/platform/billing/pilot-workspaces/route.test.ts::calls requirePlatformOwnerApi first with mode read;apps/web/app/api/v1/platform/billing/pilot-workspaces/route.test.ts::denies anonymous without side effects;apps/web/app/api/v1/platform/billing/pilot-workspaces/route.test.ts::denies tenant_owner without side effects;apps/web/app/api/v1/platform/billing/pilot-workspaces/route.test.ts::denies tenant_admin without side effects;apps/web/app/api/v1/platform/billing/pilot-workspaces/route.test.ts::denies tenant_member without side effects;apps/web/app/api/v1/platform/billing/pilot-workspaces/route.test.ts::denies stakeholder without side effects;apps/web/app/api/v1/platform/billing/pilot-workspaces/route.test.ts::denies service_role without side effects;apps/web/app/api/v1/platform/billing/pilot-workspaces/route.test.ts::denies anonymous without side effects;apps/web/app/api/v1/platform/billing/pilot-workspaces/route.test.ts::allows OWNER_READONLY success branch;apps/web/lib/platform-owner/require-platform-owner-api.test.ts::read mode allows OWNER_READONLY, OWNER_OPERATOR, OWNER;n/a — GET/read method uses standard read capability (not the safe-audit POST exception);n/a — guard_mode is read, not critical;apps/web/lib/platform-owner/phase2b4-platform-inventory.test.ts::matches expected method and guard-mode counts with UNKNOWN=0"
/api/v1/platform/billing/pilot-workspaces,POST,write,apps/web/middleware.platform-negative.test.ts::calls gateOwnerRequest with exact pathname/method for POST /api/v1/platform/billing/pilot-workspaces,apps/web/app/api/v1/platform/billing/pilot-workspaces/route.test.ts::calls requirePlatformOwnerApi first with mode write,apps/web/app/api/v1/platform/billing/pilot-workspaces/route.test.ts::denies anonymous without side effects,apps/web/app/api/v1/platform/billing/pilot-workspaces/route.test.ts::denies tenant_owner without side effects,apps/web/app/api/v1/platform/billing/pilot-workspaces/route.test.ts::denies tenant_admin without side effects,apps/web/app/api/v1/platform/billing/pilot-workspaces/route.test.ts::denies tenant_member without side effects,apps/web/app/api/v1/platform/billing/pilot-workspaces/route.test.ts::denies stakeholder without side effects,apps/web/app/api/v1/platform/billing/pilot-workspaces/route.test.ts::denies service_role without side effects,apps/web/app/api/v1/platform/billing/pilot-workspaces/route.test.ts::denies anonymous without side effects,apps/web/app/api/v1/platform/billing/pilot-workspaces/route.test.ts::allows OWNER_OPERATOR success branch,apps/web/app/api/v1/platform/billing/pilot-workspaces/route.test.ts::OWNER_READONLY denied path leaves business deps uncalled when guard denies;apps/web/lib/platform-owner/require-platform-owner-api.test.ts::write mode denies OWNER_READONLY before side effects,"n/a — guard_mode is write, not critical",PROVEN,"apps/web/middleware.platform-negative.test.ts::calls gateOwnerRequest with exact pathname/method for POST /api/v1/platform/billing/pilot-workspaces;apps/web/app/api/v1/platform/billing/pilot-workspaces/route.test.ts::calls requirePlatformOwnerApi first with mode write;apps/web/app/api/v1/platform/billing/pilot-workspaces/route.test.ts::denies anonymous without side effects;apps/web/app/api/v1/platform/billing/pilot-workspaces/route.test.ts::denies tenant_owner without side effects;apps/web/app/api/v1/platform/billing/pilot-workspaces/route.test.ts::denies tenant_admin without side effects;apps/web/app/api/v1/platform/billing/pilot-workspaces/route.test.ts::denies tenant_member without side effects;apps/web/app/api/v1/platform/billing/pilot-workspaces/route.test.ts::denies stakeholder without side effects;apps/web/app/api/v1/platform/billing/pilot-workspaces/route.test.ts::denies service_role without side effects;apps/web/app/api/v1/platform/billing/pilot-workspaces/route.test.ts::denies anonymous without side effects;apps/web/app/api/v1/platform/billing/pilot-workspaces/route.test.ts::allows OWNER_OPERATOR success branch;apps/web/app/api/v1/platform/billing/pilot-workspaces/route.test.ts::OWNER_READONLY denied path leaves business deps uncalled when guard denies;apps/web/lib/platform-owner/require-platform-owner-api.test.ts::write mode denies OWNER_READONLY before side effects;n/a — guard_mode is write, not critical;apps/web/lib/platform-owner/phase2b4-platform-inventory.test.ts::matches expected method and guard-mode counts with UNKNOWN=0"
/api/v1/platform/billing/pilot-workspaces/:workspaceId,DELETE,write,apps/web/middleware.platform-negative.test.ts::calls gateOwnerRequest with exact pathname/method for DELETE /api/v1/platform/billing/pilot-workspaces/ws-1,apps/web/app/api/v1/platform/billing/pilot-workspaces/[workspaceId]/route.test.ts::calls requirePlatformOwnerApi first with mode write,apps/web/app/api/v1/platform/billing/pilot-workspaces/[workspaceId]/route.test.ts::denies anonymous without side effects,apps/web/app/api/v1/platform/billing/pilot-workspaces/[workspaceId]/route.test.ts::denies tenant_owner without side effects,apps/web/app/api/v1/platform/billing/pilot-workspaces/[workspaceId]/route.test.ts::denies tenant_admin without side effects,apps/web/app/api/v1/platform/billing/pilot-workspaces/[workspaceId]/route.test.ts::denies tenant_member without side effects,apps/web/app/api/v1/platform/billing/pilot-workspaces/[workspaceId]/route.test.ts::denies stakeholder without side effects,apps/web/app/api/v1/platform/billing/pilot-workspaces/[workspaceId]/route.test.ts::denies service_role without side effects,apps/web/app/api/v1/platform/billing/pilot-workspaces/[workspaceId]/route.test.ts::denies anonymous without side effects,apps/web/app/api/v1/platform/billing/pilot-workspaces/[workspaceId]/route.test.ts::allows OWNER_OPERATOR success branch,apps/web/app/api/v1/platform/billing/pilot-workspaces/[workspaceId]/route.test.ts::OWNER_READONLY denied path leaves business deps uncalled when guard denies;apps/web/lib/platform-owner/require-platform-owner-api.test.ts::write mode denies OWNER_READONLY before side effects,"n/a — guard_mode is write, not critical",PROVEN,"apps/web/middleware.platform-negative.test.ts::calls gateOwnerRequest with exact pathname/method for DELETE /api/v1/platform/billing/pilot-workspaces/ws-1;apps/web/app/api/v1/platform/billing/pilot-workspaces/[workspaceId]/route.test.ts::calls requirePlatformOwnerApi first with mode write;apps/web/app/api/v1/platform/billing/pilot-workspaces/[workspaceId]/route.test.ts::denies anonymous without side effects;apps/web/app/api/v1/platform/billing/pilot-workspaces/[workspaceId]/route.test.ts::denies tenant_owner without side effects;apps/web/app/api/v1/platform/billing/pilot-workspaces/[workspaceId]/route.test.ts::denies tenant_admin without side effects;apps/web/app/api/v1/platform/billing/pilot-workspaces/[workspaceId]/route.test.ts::denies tenant_member without side effects;apps/web/app/api/v1/platform/billing/pilot-workspaces/[workspaceId]/route.test.ts::denies stakeholder without side effects;apps/web/app/api/v1/platform/billing/pilot-workspaces/[workspaceId]/route.test.ts::denies service_role without side effects;apps/web/app/api/v1/platform/billing/pilot-workspaces/[workspaceId]/route.test.ts::denies anonymous without side effects;apps/web/app/api/v1/platform/billing/pilot-workspaces/[workspaceId]/route.test.ts::allows OWNER_OPERATOR success branch;apps/web/app/api/v1/platform/billing/pilot-workspaces/[workspaceId]/route.test.ts::OWNER_READONLY denied path leaves business deps uncalled when guard denies;apps/web/lib/platform-owner/require-platform-owner-api.test.ts::write mode denies OWNER_READONLY before side effects;n/a — guard_mode is write, not critical;apps/web/lib/platform-owner/phase2b4-platform-inventory.test.ts::matches expected method and guard-mode counts with UNKNOWN=0"
/api/v1/platform/billing/process-pending-events,POST,write,apps/web/middleware.platform-negative.test.ts::calls gateOwnerRequest with exact pathname/method for POST /api/v1/platform/billing/process-pending-events,apps/web/app/api/v1/platform/billing/process-pending-events/route.test.ts::calls requirePlatformOwnerApi first with mode write,apps/web/app/api/v1/platform/billing/process-pending-events/route.test.ts::denies anonymous without side effects,apps/web/app/api/v1/platform/billing/process-pending-events/route.test.ts::denies tenant_owner without side effects,apps/web/app/api/v1/platform/billing/process-pending-events/route.test.ts::denies tenant_admin without side effects,apps/web/app/api/v1/platform/billing/process-pending-events/route.test.ts::denies tenant_member without side effects,apps/web/app/api/v1/platform/billing/process-pending-events/route.test.ts::denies stakeholder without side effects,apps/web/app/api/v1/platform/billing/process-pending-events/route.test.ts::denies service_role without side effects,apps/web/app/api/v1/platform/billing/process-pending-events/route.test.ts::denies anonymous without side effects,apps/web/app/api/v1/platform/billing/process-pending-events/route.test.ts::allows OWNER_OPERATOR success branch,apps/web/app/api/v1/platform/billing/process-pending-events/route.test.ts::OWNER_READONLY denied path leaves business deps uncalled when guard denies;apps/web/lib/platform-owner/require-platform-owner-api.test.ts::write mode denies OWNER_READONLY before side effects,"n/a — guard_mode is write, not critical",PROVEN,"apps/web/middleware.platform-negative.test.ts::calls gateOwnerRequest with exact pathname/method for POST /api/v1/platform/billing/process-pending-events;apps/web/app/api/v1/platform/billing/process-pending-events/route.test.ts::calls requirePlatformOwnerApi first with mode write;apps/web/app/api/v1/platform/billing/process-pending-events/route.test.ts::denies anonymous without side effects;apps/web/app/api/v1/platform/billing/process-pending-events/route.test.ts::denies tenant_owner without side effects;apps/web/app/api/v1/platform/billing/process-pending-events/route.test.ts::denies tenant_admin without side effects;apps/web/app/api/v1/platform/billing/process-pending-events/route.test.ts::denies tenant_member without side effects;apps/web/app/api/v1/platform/billing/process-pending-events/route.test.ts::denies stakeholder without side effects;apps/web/app/api/v1/platform/billing/process-pending-events/route.test.ts::denies service_role without side effects;apps/web/app/api/v1/platform/billing/process-pending-events/route.test.ts::denies anonymous without side effects;apps/web/app/api/v1/platform/billing/process-pending-events/route.test.ts::allows OWNER_OPERATOR success branch;apps/web/app/api/v1/platform/billing/process-pending-events/route.test.ts::OWNER_READONLY denied path leaves business deps uncalled when guard denies;apps/web/lib/platform-owner/require-platform-owner-api.test.ts::write mode denies OWNER_READONLY before side effects;n/a — guard_mode is write, not critical;apps/web/lib/platform-owner/phase2b4-platform-inventory.test.ts::matches expected method and guard-mode counts with UNKNOWN=0"
/api/v1/platform/billing/provider-status,GET,read,apps/web/middleware.platform-negative.test.ts::calls gateOwnerRequest with exact pathname/method for GET /api/v1/platform/billing/provider-status,apps/web/app/api/v1/platform/billing/provider-status/route.test.ts::calls requirePlatformOwnerApi first with mode read,apps/web/app/api/v1/platform/billing/provider-status/route.test.ts::denies anonymous without side effects,apps/web/app/api/v1/platform/billing/provider-status/route.test.ts::denies tenant_owner without side effects,apps/web/app/api/v1/platform/billing/provider-status/route.test.ts::denies tenant_admin without side effects,apps/web/app/api/v1/platform/billing/provider-status/route.test.ts::denies tenant_member without side effects,apps/web/app/api/v1/platform/billing/provider-status/route.test.ts::denies stakeholder without side effects,apps/web/app/api/v1/platform/billing/provider-status/route.test.ts::denies service_role without side effects,apps/web/app/api/v1/platform/billing/provider-status/route.test.ts::denies anonymous without side effects,apps/web/app/api/v1/platform/billing/provider-status/route.test.ts::allows OWNER_READONLY success branch,"apps/web/lib/platform-owner/require-platform-owner-api.test.ts::read mode allows OWNER_READONLY, OWNER_OPERATOR, OWNER;n/a — GET/read method uses standard read capability (not the safe-audit POST exception)","n/a — guard_mode is read, not critical",PROVEN,"apps/web/middleware.platform-negative.test.ts::calls gateOwnerRequest with exact pathname/method for GET /api/v1/platform/billing/provider-status;apps/web/app/api/v1/platform/billing/provider-status/route.test.ts::calls requirePlatformOwnerApi first with mode read;apps/web/app/api/v1/platform/billing/provider-status/route.test.ts::denies anonymous without side effects;apps/web/app/api/v1/platform/billing/provider-status/route.test.ts::denies tenant_owner without side effects;apps/web/app/api/v1/platform/billing/provider-status/route.test.ts::denies tenant_admin without side effects;apps/web/app/api/v1/platform/billing/provider-status/route.test.ts::denies tenant_member without side effects;apps/web/app/api/v1/platform/billing/provider-status/route.test.ts::denies stakeholder without side effects;apps/web/app/api/v1/platform/billing/provider-status/route.test.ts::denies service_role without side effects;apps/web/app/api/v1/platform/billing/provider-status/route.test.ts::denies anonymous without side effects;apps/web/app/api/v1/platform/billing/provider-status/route.test.ts::allows OWNER_READONLY success branch;apps/web/lib/platform-owner/require-platform-owner-api.test.ts::read mode allows OWNER_READONLY, OWNER_OPERATOR, OWNER;n/a — GET/read method uses standard read capability (not the safe-audit POST exception);n/a — guard_mode is read, not critical;apps/web/lib/platform-owner/phase2b4-platform-inventory.test.ts::matches expected method and guard-mode counts with UNKNOWN=0"
/api/v1/platform/billing/reprocess-event,POST,write,apps/web/middleware.platform-negative.test.ts::calls gateOwnerRequest with exact pathname/method for POST /api/v1/platform/billing/reprocess-event,apps/web/app/api/v1/platform/billing/reprocess-event/route.test.ts::calls requirePlatformOwnerApi first with mode write,apps/web/app/api/v1/platform/billing/reprocess-event/route.test.ts::denies anonymous without side effects,apps/web/app/api/v1/platform/billing/reprocess-event/route.test.ts::denies tenant_owner without side effects,apps/web/app/api/v1/platform/billing/reprocess-event/route.test.ts::denies tenant_admin without side effects,apps/web/app/api/v1/platform/billing/reprocess-event/route.test.ts::denies tenant_member without side effects,apps/web/app/api/v1/platform/billing/reprocess-event/route.test.ts::denies stakeholder without side effects,apps/web/app/api/v1/platform/billing/reprocess-event/route.test.ts::denies service_role without side effects,apps/web/app/api/v1/platform/billing/reprocess-event/route.test.ts::denies anonymous without side effects,apps/web/app/api/v1/platform/billing/reprocess-event/route.test.ts::allows OWNER_OPERATOR success branch,apps/web/app/api/v1/platform/billing/reprocess-event/route.test.ts::OWNER_READONLY denied path leaves business deps uncalled when guard denies;apps/web/lib/platform-owner/require-platform-owner-api.test.ts::write mode denies OWNER_READONLY before side effects,"n/a — guard_mode is write, not critical",PROVEN,"apps/web/middleware.platform-negative.test.ts::calls gateOwnerRequest with exact pathname/method for POST /api/v1/platform/billing/reprocess-event;apps/web/app/api/v1/platform/billing/reprocess-event/route.test.ts::calls requirePlatformOwnerApi first with mode write;apps/web/app/api/v1/platform/billing/reprocess-event/route.test.ts::denies anonymous without side effects;apps/web/app/api/v1/platform/billing/reprocess-event/route.test.ts::denies tenant_owner without side effects;apps/web/app/api/v1/platform/billing/reprocess-event/route.test.ts::denies tenant_admin without side effects;apps/web/app/api/v1/platform/billing/reprocess-event/route.test.ts::denies tenant_member without side effects;apps/web/app/api/v1/platform/billing/reprocess-event/route.test.ts::denies stakeholder without side effects;apps/web/app/api/v1/platform/billing/reprocess-event/route.test.ts::denies service_role without side effects;apps/web/app/api/v1/platform/billing/reprocess-event/route.test.ts::denies anonymous without side effects;apps/web/app/api/v1/platform/billing/reprocess-event/route.test.ts::allows OWNER_OPERATOR success branch;apps/web/app/api/v1/platform/billing/reprocess-event/route.test.ts::OWNER_READONLY denied path leaves business deps uncalled when guard denies;apps/web/lib/platform-owner/require-platform-owner-api.test.ts::write mode denies OWNER_READONLY before side effects;n/a — guard_mode is write, not critical;apps/web/lib/platform-owner/phase2b4-platform-inventory.test.ts::matches expected method and guard-mode counts with UNKNOWN=0"
/api/v1/platform/billing/reprocess-workspace-events,POST,write,apps/web/middleware.platform-negative.test.ts::calls gateOwnerRequest with exact pathname/method for POST /api/v1/platform/billing/reprocess-workspace-events,apps/web/app/api/v1/platform/billing/reprocess-workspace-events/route.test.ts::calls requirePlatformOwnerApi first with mode write,apps/web/app/api/v1/platform/billing/reprocess-workspace-events/route.test.ts::denies anonymous without side effects,apps/web/app/api/v1/platform/billing/reprocess-workspace-events/route.test.ts::denies tenant_owner without side effects,apps/web/app/api/v1/platform/billing/reprocess-workspace-events/route.test.ts::denies tenant_admin without side effects,apps/web/app/api/v1/platform/billing/reprocess-workspace-events/route.test.ts::denies tenant_member without side effects,apps/web/app/api/v1/platform/billing/reprocess-workspace-events/route.test.ts::denies stakeholder without side effects,apps/web/app/api/v1/platform/billing/reprocess-workspace-events/route.test.ts::denies service_role without side effects,apps/web/app/api/v1/platform/billing/reprocess-workspace-events/route.test.ts::denies anonymous without side effects,apps/web/app/api/v1/platform/billing/reprocess-workspace-events/route.test.ts::allows OWNER_OPERATOR success branch,apps/web/app/api/v1/platform/billing/reprocess-workspace-events/route.test.ts::OWNER_READONLY denied path leaves business deps uncalled when guard denies;apps/web/lib/platform-owner/require-platform-owner-api.test.ts::write mode denies OWNER_READONLY before side effects,"n/a — guard_mode is write, not critical",PROVEN,"apps/web/middleware.platform-negative.test.ts::calls gateOwnerRequest with exact pathname/method for POST /api/v1/platform/billing/reprocess-workspace-events;apps/web/app/api/v1/platform/billing/reprocess-workspace-events/route.test.ts::calls requirePlatformOwnerApi first with mode write;apps/web/app/api/v1/platform/billing/reprocess-workspace-events/route.test.ts::denies anonymous without side effects;apps/web/app/api/v1/platform/billing/reprocess-workspace-events/route.test.ts::denies tenant_owner without side effects;apps/web/app/api/v1/platform/billing/reprocess-workspace-events/route.test.ts::denies tenant_admin without side effects;apps/web/app/api/v1/platform/billing/reprocess-workspace-events/route.test.ts::denies tenant_member without side effects;apps/web/app/api/v1/platform/billing/reprocess-workspace-events/route.test.ts::denies stakeholder without side effects;apps/web/app/api/v1/platform/billing/reprocess-workspace-events/route.test.ts::denies service_role without side effects;apps/web/app/api/v1/platform/billing/reprocess-workspace-events/route.test.ts::denies anonymous without side effects;apps/web/app/api/v1/platform/billing/reprocess-workspace-events/route.test.ts::allows OWNER_OPERATOR success branch;apps/web/app/api/v1/platform/billing/reprocess-workspace-events/route.test.ts::OWNER_READONLY denied path leaves business deps uncalled when guard denies;apps/web/lib/platform-owner/require-platform-owner-api.test.ts::write mode denies OWNER_READONLY before side effects;n/a — guard_mode is write, not critical;apps/web/lib/platform-owner/phase2b4-platform-inventory.test.ts::matches expected method and guard-mode counts with UNKNOWN=0"
/api/v1/platform/billing/workspace-status,GET,read,apps/web/middleware.platform-negative.test.ts::calls gateOwnerRequest with exact pathname/method for GET /api/v1/platform/billing/workspace-status,apps/web/app/api/v1/platform/billing/workspace-status/route.test.ts::calls requirePlatformOwnerApi first with mode read,apps/web/app/api/v1/platform/billing/workspace-status/route.test.ts::denies anonymous without side effects,apps/web/app/api/v1/platform/billing/workspace-status/route.test.ts::denies tenant_owner without side effects,apps/web/app/api/v1/platform/billing/workspace-status/route.test.ts::denies tenant_admin without side effects,apps/web/app/api/v1/platform/billing/workspace-status/route.test.ts::denies tenant_member without side effects,apps/web/app/api/v1/platform/billing/workspace-status/route.test.ts::denies stakeholder without side effects,apps/web/app/api/v1/platform/billing/workspace-status/route.test.ts::denies service_role without side effects,apps/web/app/api/v1/platform/billing/workspace-status/route.test.ts::denies anonymous without side effects,apps/web/app/api/v1/platform/billing/workspace-status/route.test.ts::allows OWNER_READONLY success branch,"apps/web/lib/platform-owner/require-platform-owner-api.test.ts::read mode allows OWNER_READONLY, OWNER_OPERATOR, OWNER;n/a — GET/read method uses standard read capability (not the safe-audit POST exception)","n/a — guard_mode is read, not critical",PROVEN,"apps/web/middleware.platform-negative.test.ts::calls gateOwnerRequest with exact pathname/method for GET /api/v1/platform/billing/workspace-status;apps/web/app/api/v1/platform/billing/workspace-status/route.test.ts::calls requirePlatformOwnerApi first with mode read;apps/web/app/api/v1/platform/billing/workspace-status/route.test.ts::denies anonymous without side effects;apps/web/app/api/v1/platform/billing/workspace-status/route.test.ts::denies tenant_owner without side effects;apps/web/app/api/v1/platform/billing/workspace-status/route.test.ts::denies tenant_admin without side effects;apps/web/app/api/v1/platform/billing/workspace-status/route.test.ts::denies tenant_member without side effects;apps/web/app/api/v1/platform/billing/workspace-status/route.test.ts::denies stakeholder without side effects;apps/web/app/api/v1/platform/billing/workspace-status/route.test.ts::denies service_role without side effects;apps/web/app/api/v1/platform/billing/workspace-status/route.test.ts::denies anonymous without side effects;apps/web/app/api/v1/platform/billing/workspace-status/route.test.ts::allows OWNER_READONLY success branch;apps/web/lib/platform-owner/require-platform-owner-api.test.ts::read mode allows OWNER_READONLY, OWNER_OPERATOR, OWNER;n/a — GET/read method uses standard read capability (not the safe-audit POST exception);n/a — guard_mode is read, not critical;apps/web/lib/platform-owner/phase2b4-platform-inventory.test.ts::matches expected method and guard-mode counts with UNKNOWN=0"
