route_path,methods,route_family,audience,public_reason,auth_mechanism,tenant_context,tenant_filter,service_role_usage,tenant_role_requirement,project_role_requirement,stakeholder_policy,platform_owner_gate,customer_facing,finance_guard,finance_payload_risk,lite_client_access,write_operation,idempotency,rate_limit,legacy_alias,canonical_route,test_file,negative_roles_tested,cross_tenant_test,finance_leak_test,status,severity,evidence,recommended_fix_batch
/api/_debug/auth,GET,legacy,public_debug_gated,debug_host_gated,debug_host_flag,none_or_delegated,n/a_or_delegated,no,n/a,n/a,denied_or_n/a,no,no,not_applicable,none,BYPASS_legacy_not_under_v1_middleware,no,n/a,no_or_middleware_only,yes,/api/v1/debug/auth,,none_route_level,no,no,PROVEN,,apps/web/app/api/_debug/auth/route.ts,2D_legacy_hardening
/api/activation/status,GET,legacy,authenticated_tenant,,supabase_session,none_or_delegated,n/a_or_delegated,no,membership_required,n/a,denied_or_n/a,no,no,not_applicable,none,BYPASS_legacy_not_under_v1_middleware,no,n/a,no_or_middleware_only,yes,/api/v1/activation/status,,none_route_level,no,no,PROVEN,P3,apps/web/app/api/activation/status/route.ts;redirect to /api/v1/activation/status,2D_legacy_cleanup
/api/ai/analyze-image,POST,legacy,authenticated_tenant,,supabase_session,server_derived,ctx.tenantId,yes,membership_required,n/a,denied_or_n/a,no,no,not_applicable,none,BYPASS_legacy_not_under_v1_middleware,yes,n/a,yes,yes,/api/v1/ai/analyze-image,app/api/ai/analyze-image/route.test.ts,partial_see_test,no,no,GAP,P1,apps/web/app/api/ai/analyze-image/route.ts;legacy independent_duplicate bypasses lite allow-list middleware,2D_legacy_lite_bypass
/api/ai/analyze-video-daily,POST,legacy,authenticated_tenant,,supabase_session,none_or_delegated,n/a_or_delegated,no,membership_required,n/a,denied_or_n/a,no,no,not_applicable,none,BYPASS_legacy_not_under_v1_middleware,yes,n/a,no_or_middleware_only,yes,/api/v1/ai/analyze-video-daily,,none_route_level,no,no,GAP,P1,apps/web/app/api/ai/analyze-video-daily/route.ts;legacy re_export bypasses lite allow-list middleware,2D_legacy_lite_bypass
/api/ai/transcribe,POST,legacy,authenticated_tenant,,supabase_session,none_or_delegated,n/a_or_delegated,no,membership_required,n/a,denied_or_n/a,no,no,not_applicable,none,BYPASS_legacy_not_under_v1_middleware,yes,n/a,no_or_middleware_only,yes,/api/v1/ai/transcribe,app/api/ai/transcribe/route.test.ts,partial_see_test,no,no,GAP,P1,apps/web/app/api/ai/transcribe/route.ts;legacy re_export bypasses lite allow-list middleware,2D_legacy_lite_bypass
/api/analysis/process,POST,legacy,authenticated_any_user,,supabase_session_only,NONE,NONE_processOneJob_global_dequeue,yes_bypasses_rls,membership_required,n/a,denied_or_n/a,no,no,not_applicable,none,BYPASS_legacy_not_under_v1_middleware,yes,n/a,no_or_middleware_only,yes,/api/v1/analysis/process,app/api/analysis/process/route.test.ts,partial_see_test|unauth|roles,no,no,GAP,P0,apps/web/app/api/analysis/process/route.ts;apps/web/lib/ai/runOneJob.ts;any auth user dequeues via service_role without tenant filter,2B_analysis_process_tenant_scope
/api/auth/callback,GET,legacy,public_auth,auth_callback,supabase_auth,none_or_delegated,n/a_or_delegated,no,n/a,n/a,denied_or_n/a,no,no,not_applicable,none,BYPASS_legacy_not_under_v1_middleware,no,n/a,no_or_middleware_only,yes,oauth_callback,app/api/auth/callback/route.test.ts,partial_see_test|roles,no,no,PROVEN,,apps/web/app/api/auth/callback/route.ts,
/api/auth/login,POST,legacy,public_auth,auth_login,supabase_auth,none_or_delegated,n/a_or_delegated,yes,n/a,n/a,denied_or_n/a,no,no,not_applicable,none,BYPASS_legacy_not_under_v1_middleware,yes,n/a,yes,yes,/api/v1/auth/login,,none_route_level,no,no,PROVEN,,apps/web/app/api/auth/login/route.ts,
/api/contact,POST,legacy,public,contact,none_or_rate_limited,none_or_delegated,n/a_or_delegated,yes_public_insert,n/a,n/a,denied_or_n/a,no,no,not_applicable,none,BYPASS_legacy_not_under_v1_middleware,yes,n/a,no_or_middleware_only,yes,/api/v1/contact,app/api/contact/route.test.ts,partial_see_test|roles,no,no,PROVEN,P3,apps/web/app/api/contact/route.ts,2D_public_abuse_controls
/api/diag/supabase,GET,legacy,public_debug_gated,debug_host_gated,debug_host_flag,none_or_delegated,n/a_or_delegated,no,n/a,n/a,denied_or_n/a,no,no,not_applicable,none,BYPASS_legacy_not_under_v1_middleware,no,n/a,no_or_middleware_only,yes,/api/v1/diag/supabase,,none_route_level,no,no,PROVEN,,apps/web/app/api/diag/supabase/route.ts,2D_legacy_hardening
/api/health,GET,legacy,public,health_config,none,none_or_delegated,n/a_or_delegated,no,n/a,n/a,n/a,no,no,not_applicable,none,BYPASS_legacy_not_under_v1_middleware,no,n/a,no_or_middleware_only,yes,/api/v1/health,app/api/health/route.test.ts,partial_see_test,no,no,PROVEN,,apps/web/app/api/health/route.ts,
/api/health/auth,GET,legacy,public_debug_gated,debug_host_gated,debug_host_flag,none_or_delegated,n/a_or_delegated,no,n/a,n/a,denied_or_n/a,no,no,not_applicable,none,BYPASS_legacy_not_under_v1_middleware,no,n/a,no_or_middleware_only,yes,/api/v1/health/auth,app/api/health/auth/route.test.ts,partial_see_test,no,no,PROVEN,,apps/web/app/api/health/auth/route.ts,2D_legacy_hardening
/api/invite,POST,legacy,authenticated_tenant,,supabase_session,none_or_delegated,n/a_or_delegated,no,membership_required,n/a,denied_or_n/a,no,no,not_applicable,none,BYPASS_legacy_not_under_v1_middleware,yes,n/a,no_or_middleware_only,yes,/api/v1/tenant/invite,,none_route_level,no,no,PROVEN,P3,apps/web/app/api/invite/route.ts;re_export to /api/v1/tenant/invite,2D_legacy_cleanup
/api/projects,GET|POST,legacy,authenticated_tenant,,supabase_session,server_derived,ctx.tenantId,no,membership_required,n/a,denied_or_n/a,no,no,not_applicable,none,BYPASS_legacy_not_under_v1_middleware,yes,n/a,no_or_middleware_only,yes,/api/v1/projects,,none_route_level,no,no,GAP,P1,apps/web/app/api/projects/route.ts;legacy independent_duplicate bypasses lite allow-list middleware,2D_legacy_lite_bypass
/api/projects/:id,GET,legacy,authenticated_tenant,,supabase_session,none_or_delegated,n/a_or_delegated,no,membership_required,n/a,denied_or_n/a,no,no,not_applicable,none,BYPASS_legacy_not_under_v1_middleware,no,n/a,no_or_middleware_only,yes,/api/v1/projects/:id,,none_route_level,no,no,GAP,P1,apps/web/app/api/projects/[id]/route.ts;legacy independent_duplicate bypasses lite allow-list middleware,2D_legacy_lite_bypass
/api/projects/:id/jobs/:jobId/trigger,POST,legacy,authenticated_tenant,,supabase_session,none_or_delegated,n/a_or_delegated,no,membership_required,n/a,denied_or_n/a,no,no,not_applicable,none,BYPASS_legacy_not_under_v1_middleware,yes,n/a,no_or_middleware_only,yes,/api/v1/projects/:id/jobs/:jobId/trigger,,none_route_level,no,no,GAP,P1,apps/web/app/api/projects/[id]/jobs/[jobId]/trigger/route.ts;legacy obsolete bypasses lite allow-list middleware,2D_legacy_lite_bypass
/api/projects/:id/media/:mediaId/trigger,POST,legacy,authenticated_tenant,,supabase_session,none_or_delegated,n/a_or_delegated,no,membership_required,n/a,denied_or_n/a,no,no,not_applicable,none,BYPASS_legacy_not_under_v1_middleware,yes,n/a,no_or_middleware_only,yes,/api/v1/projects/:id/media/:mediaId/trigger,,none_route_level,no,no,GAP,P1,apps/web/app/api/projects/[id]/media/[mediaId]/trigger/route.ts;legacy independent_duplicate bypasses lite allow-list middleware,2D_legacy_lite_bypass
