alias_route,method,canonical_route,middleware_classified,segment_boundary_test,middleware_allow_test,middleware_deny_test,handler_defense_test,deprecation_test,status,evidence
/api/v1/admin/billing/pilot-status,GET,/api/v1/platform/billing/pilot-status,yes:isPlatformAdminApiPath,apps/web/lib/platform-admin/middleware-paths.test.ts::classifies alias path as platform-owner API: /api/v1/admin/billing/pilot-status || apps/web/lib/platform-admin/middleware-paths.test.ts::rejects near-match / ordinary admin path: /api/v1/admin/billingevil || apps/web/lib/platform-admin/middleware-paths.test.ts::rejects near-match / ordinary admin path: /api/v1/platformish || apps/web/lib/platform-admin/middleware-paths.test.ts::rejects near-match / ordinary admin path: /api/v1/ownerish,apps/web/middleware.platform-alias-gate.test.ts::calls gateOwnerRequest with exact pathname/method for GET /api/v1/admin/billing/pilot-status || apps/web/middleware.platform-alias-gate.test.ts::allows GET /api/v1/admin/billing/pilot-status and sets owner rate-limit marker on request continuation,apps/web/middleware.platform-alias-gate.test.ts::denies GET /api/v1/admin/billing/pilot-status when gateOwnerRequest returns 403 and does not continue,apps/web/app/api/v1/admin/phase2b3-alias-gate.test.ts::GET alias /admin/billing/pilot-status handler 403 without business call || apps/web/app/api/v1/admin/phase2b3-alias-gate.test.ts::GET alias /admin/billing/pilot-status preserves handler 429 statusText body Retry-After || apps/web/app/api/v1/admin/phase2b3-alias-gate.test.ts::POST alias /admin/billing/reprocess-event preserves handler 429 without mutation || apps/web/lib/platform-admin/legacy-tenant-admin-api.test.ts::all 11 alias route modules expose exactly 13 methods through the shared canonical delegate,"apps/web/app/api/v1/admin/phase2b3-alias-gate.test.ts::GET alias /admin/billing/pilot-status success + deprecation + read mode || apps/web/lib/platform-admin/deprecation.test.ts::preserves status, statusText, body, Content-Type, custom headers, Retry-After on 2xx || apps/web/lib/platform-admin/deprecation.test.ts::preserves 401 error payload, statusText, Retry-After, and custom headers || apps/web/lib/platform-admin/deprecation.test.ts::preserves 403 error payload, statusText, Retry-After, and custom headers || apps/web/lib/platform-admin/deprecation.test.ts::preserves 429 error payload, statusText, Retry-After, and custom headers || apps/web/lib/platform-admin/deprecation.test.ts::preserves 204 with empty body and only adds Deprecation/Link || apps/web/lib/platform-admin/deprecation.test.ts::preserves Set-Cookie when present on the source response || apps/web/lib/platform-admin/legacy-tenant-admin-api.test.ts::preserves handler 429 status, statusText, body, Retry-After, and custom headers || apps/web/lib/platform-admin/legacy-tenant-admin-api.test.ts::preserves successful 2xx body and only adds Deprecation/Link || apps/web/lib/platform-admin/legacy-tenant-admin-api.test.ts::preserves 204 empty body through shared delegate",PROVEN,classified+mw allow/deny; shared delegateLegacyTenantAdminPlatformApi (11 routes; inventory test); response preservation status/statusText/body/headers/Retry-After/Set-Cookie/204/401/403/429; route 429 GET+write proofs; Deprecation+Link only
/api/v1/admin/billing/pilot-workspaces,GET,/api/v1/platform/billing/pilot-workspaces,yes:isPlatformAdminApiPath,apps/web/lib/platform-admin/middleware-paths.test.ts::classifies alias path as platform-owner API: /api/v1/admin/billing/pilot-workspaces,apps/web/middleware.platform-alias-gate.test.ts::calls gateOwnerRequest with exact pathname/method for GET /api/v1/admin/billing/pilot-workspaces || apps/web/middleware.platform-alias-gate.test.ts::allows GET /api/v1/admin/billing/pilot-workspaces and sets owner rate-limit marker on request continuation,apps/web/middleware.platform-alias-gate.test.ts::denies GET /api/v1/admin/billing/pilot-workspaces when gateOwnerRequest returns 403 and does not continue,apps/web/app/api/v1/admin/phase2b3-alias-gate.test.ts::GET alias /admin/billing/pilot-workspaces handler 403 without business call || apps/web/app/api/v1/admin/phase2b3-alias-gate.test.ts::GET alias /admin/billing/pilot-status preserves handler 429 statusText body Retry-After || apps/web/app/api/v1/admin/phase2b3-alias-gate.test.ts::POST alias /admin/billing/reprocess-event preserves handler 429 without mutation || apps/web/lib/platform-admin/legacy-tenant-admin-api.test.ts::all 11 alias route modules expose exactly 13 methods through the shared canonical delegate,"apps/web/app/api/v1/admin/phase2b3-alias-gate.test.ts::GET alias /admin/billing/pilot-workspaces success + deprecation || apps/web/lib/platform-admin/deprecation.test.ts::preserves status, statusText, body, Content-Type, custom headers, Retry-After on 2xx || apps/web/lib/platform-admin/deprecation.test.ts::preserves 401 error payload, statusText, Retry-After, and custom headers || apps/web/lib/platform-admin/deprecation.test.ts::preserves 403 error payload, statusText, Retry-After, and custom headers || apps/web/lib/platform-admin/deprecation.test.ts::preserves 429 error payload, statusText, Retry-After, and custom headers || apps/web/lib/platform-admin/deprecation.test.ts::preserves 204 with empty body and only adds Deprecation/Link || apps/web/lib/platform-admin/deprecation.test.ts::preserves Set-Cookie when present on the source response || apps/web/lib/platform-admin/legacy-tenant-admin-api.test.ts::preserves handler 429 status, statusText, body, Retry-After, and custom headers || apps/web/lib/platform-admin/legacy-tenant-admin-api.test.ts::preserves successful 2xx body and only adds Deprecation/Link || apps/web/lib/platform-admin/legacy-tenant-admin-api.test.ts::preserves 204 empty body through shared delegate",PROVEN,classified+mw allow/deny; shared delegateLegacyTenantAdminPlatformApi (11 routes; inventory test); response preservation status/statusText/body/headers/Retry-After/Set-Cookie/204/401/403/429; route 429 GET+write proofs; Deprecation+Link only
/api/v1/admin/billing/pilot-workspaces,POST,/api/v1/platform/billing/pilot-workspaces,yes:isPlatformAdminApiPath,apps/web/lib/platform-admin/middleware-paths.test.ts::classifies alias path as platform-owner API: /api/v1/admin/billing/pilot-workspaces,apps/web/middleware.platform-alias-gate.test.ts::calls gateOwnerRequest with exact pathname/method for POST /api/v1/admin/billing/pilot-workspaces || apps/web/middleware.platform-alias-gate.test.ts::allows POST /api/v1/admin/billing/pilot-workspaces and sets owner rate-limit marker on request continuation,apps/web/middleware.platform-alias-gate.test.ts::denies POST /api/v1/admin/billing/pilot-workspaces when gateOwnerRequest returns 403 and does not continue,apps/web/app/api/v1/admin/phase2b3-alias-gate.test.ts::POST alias /admin/billing/pilot-workspaces OWNER_READONLY blocks without mutation || apps/web/app/api/v1/admin/phase2b3-alias-gate.test.ts::GET alias /admin/billing/pilot-status preserves handler 429 statusText body Retry-After || apps/web/app/api/v1/admin/phase2b3-alias-gate.test.ts::POST alias /admin/billing/reprocess-event preserves handler 429 without mutation || apps/web/lib/platform-admin/legacy-tenant-admin-api.test.ts::all 11 alias route modules expose exactly 13 methods through the shared canonical delegate,"apps/web/app/api/v1/admin/phase2b3-alias-gate.test.ts::POST alias /admin/billing/pilot-workspaces write success + deprecation || apps/web/lib/platform-admin/deprecation.test.ts::preserves status, statusText, body, Content-Type, custom headers, Retry-After on 2xx || apps/web/lib/platform-admin/deprecation.test.ts::preserves 401 error payload, statusText, Retry-After, and custom headers || apps/web/lib/platform-admin/deprecation.test.ts::preserves 403 error payload, statusText, Retry-After, and custom headers || apps/web/lib/platform-admin/deprecation.test.ts::preserves 429 error payload, statusText, Retry-After, and custom headers || apps/web/lib/platform-admin/deprecation.test.ts::preserves 204 with empty body and only adds Deprecation/Link || apps/web/lib/platform-admin/deprecation.test.ts::preserves Set-Cookie when present on the source response || apps/web/lib/platform-admin/legacy-tenant-admin-api.test.ts::preserves handler 429 status, statusText, body, Retry-After, and custom headers || apps/web/lib/platform-admin/legacy-tenant-admin-api.test.ts::preserves successful 2xx body and only adds Deprecation/Link || apps/web/lib/platform-admin/legacy-tenant-admin-api.test.ts::preserves 204 empty body through shared delegate",PROVEN,classified+mw allow/deny; shared delegateLegacyTenantAdminPlatformApi (11 routes; inventory test); response preservation status/statusText/body/headers/Retry-After/Set-Cookie/204/401/403/429; route 429 GET+write proofs; Deprecation+Link only
/api/v1/admin/billing/pilot-workspaces/:workspaceId,DELETE,/api/v1/platform/billing/pilot-workspaces/:workspaceId,yes:isPlatformAdminApiPath,apps/web/lib/platform-admin/middleware-paths.test.ts::classifies alias path as platform-owner API: /api/v1/admin/billing/pilot-workspaces/ws-1,apps/web/middleware.platform-alias-gate.test.ts::calls gateOwnerRequest with exact pathname/method for DELETE /api/v1/admin/billing/pilot-workspaces/ws-1 || apps/web/middleware.platform-alias-gate.test.ts::allows DELETE /api/v1/admin/billing/pilot-workspaces/ws-1 and sets owner rate-limit marker on request continuation,apps/web/middleware.platform-alias-gate.test.ts::denies DELETE /api/v1/admin/billing/pilot-workspaces/ws-1 when gateOwnerRequest returns 403 and does not continue,apps/web/app/api/v1/admin/phase2b3-alias-gate.test.ts::DELETE alias pilot-workspaces OWNER_READONLY blocks without mutation || apps/web/app/api/v1/admin/phase2b3-alias-gate.test.ts::GET alias /admin/billing/pilot-status preserves handler 429 statusText body Retry-After || apps/web/app/api/v1/admin/phase2b3-alias-gate.test.ts::POST alias /admin/billing/reprocess-event preserves handler 429 without mutation || apps/web/lib/platform-admin/legacy-tenant-admin-api.test.ts::all 11 alias route modules expose exactly 13 methods through the shared canonical delegate,"apps/web/app/api/v1/admin/phase2b3-alias-gate.test.ts::DELETE alias /admin/billing/pilot-workspaces/:id write success + deprecation || apps/web/lib/platform-admin/deprecation.test.ts::preserves status, statusText, body, Content-Type, custom headers, Retry-After on 2xx || apps/web/lib/platform-admin/deprecation.test.ts::preserves 401 error payload, statusText, Retry-After, and custom headers || apps/web/lib/platform-admin/deprecation.test.ts::preserves 403 error payload, statusText, Retry-After, and custom headers || apps/web/lib/platform-admin/deprecation.test.ts::preserves 429 error payload, statusText, Retry-After, and custom headers || apps/web/lib/platform-admin/deprecation.test.ts::preserves 204 with empty body and only adds Deprecation/Link || apps/web/lib/platform-admin/deprecation.test.ts::preserves Set-Cookie when present on the source response || apps/web/lib/platform-admin/legacy-tenant-admin-api.test.ts::preserves handler 429 status, statusText, body, Retry-After, and custom headers || apps/web/lib/platform-admin/legacy-tenant-admin-api.test.ts::preserves successful 2xx body and only adds Deprecation/Link || apps/web/lib/platform-admin/legacy-tenant-admin-api.test.ts::preserves 204 empty body through shared delegate",PROVEN,classified+mw allow/deny; shared delegateLegacyTenantAdminPlatformApi (11 routes; inventory test); response preservation status/statusText/body/headers/Retry-After/Set-Cookie/204/401/403/429; route 429 GET+write proofs; Deprecation+Link only
/api/v1/admin/billing/process-pending-events,POST,/api/v1/platform/billing/process-pending-events,yes:isPlatformAdminApiPath,apps/web/lib/platform-admin/middleware-paths.test.ts::classifies alias path as platform-owner API: /api/v1/admin/billing/process-pending-events,apps/web/middleware.platform-alias-gate.test.ts::calls gateOwnerRequest with exact pathname/method for POST /api/v1/admin/billing/process-pending-events || apps/web/middleware.platform-alias-gate.test.ts::allows POST /api/v1/admin/billing/process-pending-events and sets owner rate-limit marker on request continuation,apps/web/middleware.platform-alias-gate.test.ts::denies POST /api/v1/admin/billing/process-pending-events when gateOwnerRequest returns 403 and does not continue,apps/web/app/api/v1/admin/phase2b3-alias-gate.test.ts::POST process-pending-events OWNER_READONLY blocks without mutation || apps/web/app/api/v1/admin/phase2b3-alias-gate.test.ts::GET alias /admin/billing/pilot-status preserves handler 429 statusText body Retry-After || apps/web/app/api/v1/admin/phase2b3-alias-gate.test.ts::POST alias /admin/billing/reprocess-event preserves handler 429 without mutation || apps/web/lib/platform-admin/legacy-tenant-admin-api.test.ts::all 11 alias route modules expose exactly 13 methods through the shared canonical delegate,"apps/web/app/api/v1/admin/phase2b3-alias-gate.test.ts::POST alias /admin/billing/process-pending-events write success + deprecation || apps/web/lib/platform-admin/deprecation.test.ts::preserves status, statusText, body, Content-Type, custom headers, Retry-After on 2xx || apps/web/lib/platform-admin/deprecation.test.ts::preserves 401 error payload, statusText, Retry-After, and custom headers || apps/web/lib/platform-admin/deprecation.test.ts::preserves 403 error payload, statusText, Retry-After, and custom headers || apps/web/lib/platform-admin/deprecation.test.ts::preserves 429 error payload, statusText, Retry-After, and custom headers || apps/web/lib/platform-admin/deprecation.test.ts::preserves 204 with empty body and only adds Deprecation/Link || apps/web/lib/platform-admin/deprecation.test.ts::preserves Set-Cookie when present on the source response || apps/web/lib/platform-admin/legacy-tenant-admin-api.test.ts::preserves handler 429 status, statusText, body, Retry-After, and custom headers || apps/web/lib/platform-admin/legacy-tenant-admin-api.test.ts::preserves successful 2xx body and only adds Deprecation/Link || apps/web/lib/platform-admin/legacy-tenant-admin-api.test.ts::preserves 204 empty body through shared delegate",PROVEN,classified+mw allow/deny; shared delegateLegacyTenantAdminPlatformApi (11 routes; inventory test); response preservation status/statusText/body/headers/Retry-After/Set-Cookie/204/401/403/429; route 429 GET+write proofs; Deprecation+Link only
/api/v1/admin/billing/provider-status,GET,/api/v1/platform/billing/provider-status,yes:isPlatformAdminApiPath,apps/web/lib/platform-admin/middleware-paths.test.ts::classifies alias path as platform-owner API: /api/v1/admin/billing/provider-status,apps/web/middleware.platform-alias-gate.test.ts::calls gateOwnerRequest with exact pathname/method for GET /api/v1/admin/billing/provider-status || apps/web/middleware.platform-alias-gate.test.ts::allows GET /api/v1/admin/billing/provider-status and sets owner rate-limit marker on request continuation,apps/web/middleware.platform-alias-gate.test.ts::denies GET /api/v1/admin/billing/provider-status when gateOwnerRequest returns 403 and does not continue,apps/web/app/api/v1/admin/phase2b3-alias-gate.test.ts::GET provider-status handler 401 without business side effects || apps/web/app/api/v1/admin/phase2b3-alias-gate.test.ts::GET alias /admin/billing/pilot-status preserves handler 429 statusText body Retry-After || apps/web/app/api/v1/admin/phase2b3-alias-gate.test.ts::POST alias /admin/billing/reprocess-event preserves handler 429 without mutation || apps/web/lib/platform-admin/legacy-tenant-admin-api.test.ts::all 11 alias route modules expose exactly 13 methods through the shared canonical delegate,"apps/web/app/api/v1/admin/phase2b3-alias-gate.test.ts::GET alias /admin/billing/provider-status success + deprecation || apps/web/lib/platform-admin/deprecation.test.ts::preserves status, statusText, body, Content-Type, custom headers, Retry-After on 2xx || apps/web/lib/platform-admin/deprecation.test.ts::preserves 401 error payload, statusText, Retry-After, and custom headers || apps/web/lib/platform-admin/deprecation.test.ts::preserves 403 error payload, statusText, Retry-After, and custom headers || apps/web/lib/platform-admin/deprecation.test.ts::preserves 429 error payload, statusText, Retry-After, and custom headers || apps/web/lib/platform-admin/deprecation.test.ts::preserves 204 with empty body and only adds Deprecation/Link || apps/web/lib/platform-admin/deprecation.test.ts::preserves Set-Cookie when present on the source response || apps/web/lib/platform-admin/legacy-tenant-admin-api.test.ts::preserves handler 429 status, statusText, body, Retry-After, and custom headers || apps/web/lib/platform-admin/legacy-tenant-admin-api.test.ts::preserves successful 2xx body and only adds Deprecation/Link || apps/web/lib/platform-admin/legacy-tenant-admin-api.test.ts::preserves 204 empty body through shared delegate",PROVEN,classified+mw allow/deny; shared delegateLegacyTenantAdminPlatformApi (11 routes; inventory test); response preservation status/statusText/body/headers/Retry-After/Set-Cookie/204/401/403/429; route 429 GET+write proofs; Deprecation+Link only
/api/v1/admin/billing/reprocess-event,POST,/api/v1/platform/billing/reprocess-event,yes:isPlatformAdminApiPath,apps/web/lib/platform-admin/middleware-paths.test.ts::classifies alias path as platform-owner API: /api/v1/admin/billing/reprocess-event,apps/web/middleware.platform-alias-gate.test.ts::calls gateOwnerRequest with exact pathname/method for POST /api/v1/admin/billing/reprocess-event || apps/web/middleware.platform-alias-gate.test.ts::allows POST /api/v1/admin/billing/reprocess-event and sets owner rate-limit marker on request continuation,apps/web/middleware.platform-alias-gate.test.ts::denies POST /api/v1/admin/billing/reprocess-event when gateOwnerRequest returns 403 and does not continue,apps/web/app/api/v1/admin/phase2b3-alias-gate.test.ts::POST reprocess-event OWNER_READONLY blocks without mutation || apps/web/app/api/v1/admin/phase2b3-alias-gate.test.ts::GET alias /admin/billing/pilot-status preserves handler 429 statusText body Retry-After || apps/web/app/api/v1/admin/phase2b3-alias-gate.test.ts::POST alias /admin/billing/reprocess-event preserves handler 429 without mutation || apps/web/lib/platform-admin/legacy-tenant-admin-api.test.ts::all 11 alias route modules expose exactly 13 methods through the shared canonical delegate,"apps/web/app/api/v1/admin/phase2b3-alias-gate.test.ts::POST alias /admin/billing/reprocess-event write success + deprecation || apps/web/lib/platform-admin/deprecation.test.ts::preserves status, statusText, body, Content-Type, custom headers, Retry-After on 2xx || apps/web/lib/platform-admin/deprecation.test.ts::preserves 401 error payload, statusText, Retry-After, and custom headers || apps/web/lib/platform-admin/deprecation.test.ts::preserves 403 error payload, statusText, Retry-After, and custom headers || apps/web/lib/platform-admin/deprecation.test.ts::preserves 429 error payload, statusText, Retry-After, and custom headers || apps/web/lib/platform-admin/deprecation.test.ts::preserves 204 with empty body and only adds Deprecation/Link || apps/web/lib/platform-admin/deprecation.test.ts::preserves Set-Cookie when present on the source response || apps/web/lib/platform-admin/legacy-tenant-admin-api.test.ts::preserves handler 429 status, statusText, body, Retry-After, and custom headers || apps/web/lib/platform-admin/legacy-tenant-admin-api.test.ts::preserves successful 2xx body and only adds Deprecation/Link || apps/web/lib/platform-admin/legacy-tenant-admin-api.test.ts::preserves 204 empty body through shared delegate",PROVEN,classified+mw allow/deny; shared delegateLegacyTenantAdminPlatformApi (11 routes; inventory test); response preservation status/statusText/body/headers/Retry-After/Set-Cookie/204/401/403/429; route 429 GET+write proofs; Deprecation+Link only
/api/v1/admin/billing/reprocess-workspace-events,POST,/api/v1/platform/billing/reprocess-workspace-events,yes:isPlatformAdminApiPath,apps/web/lib/platform-admin/middleware-paths.test.ts::classifies alias path as platform-owner API: /api/v1/admin/billing/reprocess-workspace-events,apps/web/middleware.platform-alias-gate.test.ts::calls gateOwnerRequest with exact pathname/method for POST /api/v1/admin/billing/reprocess-workspace-events || apps/web/middleware.platform-alias-gate.test.ts::allows POST /api/v1/admin/billing/reprocess-workspace-events and sets owner rate-limit marker on request continuation,apps/web/middleware.platform-alias-gate.test.ts::denies POST /api/v1/admin/billing/reprocess-workspace-events when gateOwnerRequest returns 403 and does not continue,apps/web/app/api/v1/admin/phase2b3-alias-gate.test.ts::POST reprocess-workspace-events OWNER_READONLY blocks without mutation || apps/web/app/api/v1/admin/phase2b3-alias-gate.test.ts::GET alias /admin/billing/pilot-status preserves handler 429 statusText body Retry-After || apps/web/app/api/v1/admin/phase2b3-alias-gate.test.ts::POST alias /admin/billing/reprocess-event preserves handler 429 without mutation || apps/web/lib/platform-admin/legacy-tenant-admin-api.test.ts::all 11 alias route modules expose exactly 13 methods through the shared canonical delegate,"apps/web/app/api/v1/admin/phase2b3-alias-gate.test.ts::POST alias /admin/billing/reprocess-workspace-events write success + deprecation || apps/web/lib/platform-admin/deprecation.test.ts::preserves status, statusText, body, Content-Type, custom headers, Retry-After on 2xx || apps/web/lib/platform-admin/deprecation.test.ts::preserves 401 error payload, statusText, Retry-After, and custom headers || apps/web/lib/platform-admin/deprecation.test.ts::preserves 403 error payload, statusText, Retry-After, and custom headers || apps/web/lib/platform-admin/deprecation.test.ts::preserves 429 error payload, statusText, Retry-After, and custom headers || apps/web/lib/platform-admin/deprecation.test.ts::preserves 204 with empty body and only adds Deprecation/Link || apps/web/lib/platform-admin/deprecation.test.ts::preserves Set-Cookie when present on the source response || apps/web/lib/platform-admin/legacy-tenant-admin-api.test.ts::preserves handler 429 status, statusText, body, Retry-After, and custom headers || apps/web/lib/platform-admin/legacy-tenant-admin-api.test.ts::preserves successful 2xx body and only adds Deprecation/Link || apps/web/lib/platform-admin/legacy-tenant-admin-api.test.ts::preserves 204 empty body through shared delegate",PROVEN,classified+mw allow/deny; shared delegateLegacyTenantAdminPlatformApi (11 routes; inventory test); response preservation status/statusText/body/headers/Retry-After/Set-Cookie/204/401/403/429; route 429 GET+write proofs; Deprecation+Link only
/api/v1/admin/billing/workspace-status,GET,/api/v1/platform/billing/workspace-status,yes:isPlatformAdminApiPath,apps/web/lib/platform-admin/middleware-paths.test.ts::classifies alias path as platform-owner API: /api/v1/admin/billing/workspace-status,apps/web/middleware.platform-alias-gate.test.ts::calls gateOwnerRequest with exact pathname/method for GET /api/v1/admin/billing/workspace-status || apps/web/middleware.platform-alias-gate.test.ts::allows GET /api/v1/admin/billing/workspace-status and sets owner rate-limit marker on request continuation,apps/web/middleware.platform-alias-gate.test.ts::denies GET /api/v1/admin/billing/workspace-status when gateOwnerRequest returns 403 and does not continue,apps/web/app/api/v1/admin/phase2b3-alias-gate.test.ts::GET alias /admin/billing/workspace-status handler 403 without business call || apps/web/app/api/v1/admin/phase2b3-alias-gate.test.ts::GET alias /admin/billing/pilot-status preserves handler 429 statusText body Retry-After || apps/web/app/api/v1/admin/phase2b3-alias-gate.test.ts::POST alias /admin/billing/reprocess-event preserves handler 429 without mutation || apps/web/lib/platform-admin/legacy-tenant-admin-api.test.ts::all 11 alias route modules expose exactly 13 methods through the shared canonical delegate,"apps/web/app/api/v1/admin/phase2b3-alias-gate.test.ts::GET alias /admin/billing/workspace-status success + deprecation || apps/web/lib/platform-admin/deprecation.test.ts::preserves status, statusText, body, Content-Type, custom headers, Retry-After on 2xx || apps/web/lib/platform-admin/deprecation.test.ts::preserves 401 error payload, statusText, Retry-After, and custom headers || apps/web/lib/platform-admin/deprecation.test.ts::preserves 403 error payload, statusText, Retry-After, and custom headers || apps/web/lib/platform-admin/deprecation.test.ts::preserves 429 error payload, statusText, Retry-After, and custom headers || apps/web/lib/platform-admin/deprecation.test.ts::preserves 204 with empty body and only adds Deprecation/Link || apps/web/lib/platform-admin/deprecation.test.ts::preserves Set-Cookie when present on the source response || apps/web/lib/platform-admin/legacy-tenant-admin-api.test.ts::preserves handler 429 status, statusText, body, Retry-After, and custom headers || apps/web/lib/platform-admin/legacy-tenant-admin-api.test.ts::preserves successful 2xx body and only adds Deprecation/Link || apps/web/lib/platform-admin/legacy-tenant-admin-api.test.ts::preserves 204 empty body through shared delegate",PROVEN,classified+mw allow/deny; shared delegateLegacyTenantAdminPlatformApi (11 routes; inventory test); response preservation status/statusText/body/headers/Retry-After/Set-Cookie/204/401/403/429; route 429 GET+write proofs; Deprecation+Link only
/api/v1/admin/leads,GET,/api/v1/platform/leads,yes:isPlatformAdminApiPath,apps/web/lib/platform-admin/middleware-paths.test.ts::classifies alias path as platform-owner API: /api/v1/admin/leads || apps/web/lib/platform-admin/middleware-paths.test.ts::rejects near-match / ordinary admin path: /api/v1/admin/leadership,apps/web/middleware.platform-alias-gate.test.ts::calls gateOwnerRequest with exact pathname/method for GET /api/v1/admin/leads || apps/web/middleware.platform-alias-gate.test.ts::allows GET /api/v1/admin/leads and sets owner rate-limit marker on request continuation,apps/web/middleware.platform-alias-gate.test.ts::denies GET /api/v1/admin/leads when gateOwnerRequest returns 403 and does not continue,apps/web/app/api/v1/admin/phase2b3-alias-gate.test.ts::GET alias /admin/leads handler 403 without query || apps/web/app/api/v1/admin/phase2b3-alias-gate.test.ts::GET alias /admin/billing/pilot-status preserves handler 429 statusText body Retry-After || apps/web/app/api/v1/admin/phase2b3-alias-gate.test.ts::POST alias /admin/billing/reprocess-event preserves handler 429 without mutation || apps/web/lib/platform-admin/legacy-tenant-admin-api.test.ts::all 11 alias route modules expose exactly 13 methods through the shared canonical delegate,"apps/web/app/api/v1/admin/phase2b3-alias-gate.test.ts::GET alias /admin/leads success + deprecation || apps/web/lib/platform-admin/deprecation.test.ts::preserves status, statusText, body, Content-Type, custom headers, Retry-After on 2xx || apps/web/lib/platform-admin/deprecation.test.ts::preserves 401 error payload, statusText, Retry-After, and custom headers || apps/web/lib/platform-admin/deprecation.test.ts::preserves 403 error payload, statusText, Retry-After, and custom headers || apps/web/lib/platform-admin/deprecation.test.ts::preserves 429 error payload, statusText, Retry-After, and custom headers || apps/web/lib/platform-admin/deprecation.test.ts::preserves 204 with empty body and only adds Deprecation/Link || apps/web/lib/platform-admin/deprecation.test.ts::preserves Set-Cookie when present on the source response || apps/web/lib/platform-admin/legacy-tenant-admin-api.test.ts::preserves handler 429 status, statusText, body, Retry-After, and custom headers || apps/web/lib/platform-admin/legacy-tenant-admin-api.test.ts::preserves successful 2xx body and only adds Deprecation/Link || apps/web/lib/platform-admin/legacy-tenant-admin-api.test.ts::preserves 204 empty body through shared delegate",PROVEN,classified+mw allow/deny; shared delegateLegacyTenantAdminPlatformApi (11 routes; inventory test); response preservation status/statusText/body/headers/Retry-After/Set-Cookie/204/401/403/429; route 429 GET+write proofs; Deprecation+Link only
