capability,route,auth,role,provider,fallback,local,staging,production,evidence,result,blocker
vision_analyze_image,POST /api/v1/ai/analyze-image,tenant required (anon denied),manager-capable tenant member,openai|anthropic|gemini router,deterministic X-AI-Fallback-Reason,DEGRADED_rate_limit_rpc_missing,LIVE_product_route_2026-07-30,LIVE_product_route_2026-07-30,ai_live_provider.sh --require-live + auth + controlled IMAGE_URL,PASS_classified,rate_limit_try_increment_multi migration not applied (blocks local/source paid path fail-closed)
vision_legacy,POST /api/ai/analyze-image,redirect+lite deny,same as v1,same,same,DEGRADED,UNKNOWN_deployed,UNKNOWN_deployed,legacy-lite-bypass tests,PASS_local_contract,none
copilot_non_stream,GET /api/v1/projects/:id/copilot,tenant+project,manager workspace (not stakeholder/worker manager-only),openai text,deterministicFallback,DEGRADED_unproven_local,UNKNOWN_no_fresh_probe,UNKNOWN_no_fresh_probe,route tests + gateCopilotLlmRequest fail-closed,PASS_contract,rate_limit RPC missing for paid path
copilot_stream,POST /api/v1/projects/:id/copilot/chat/stream,tenant+project,manager workspace,openai stream,SSE done+fallback_reason,DEGRADED_unproven_local,UNKNOWN_no_fresh_probe,UNKNOWN_no_fresh_probe,stream route tests (done!=live),PASS_contract,rate_limit RPC missing; stream done alone not live proof
project_brief,GET /api/v1/ai/project-brief,tenant,member+,deterministic ai-brain,n/a,DETERMINISTIC,DETERMINISTIC,DETERMINISTIC,ai-brain modules,PASS,none
action_plan,POST /api/v1/ai/action-plan,tenant,member+,deterministic draft-only,n/a,DETERMINISTIC,DETERMINISTIC,DETERMINISTIC,route present,PASS,none
transcription,POST /api/v1/ai/transcribe,tenant,member+,openai whisper,error (no deterministic audio),DISABLED_unproven,UNKNOWN,UNKNOWN,no live audio probe (policy),PASS_no_live_audio,no synthetic audio claim
video_daily,POST /api/v1/ai/analyze-video-daily,tenant required,member+,gemini only,error (no cross-provider),DISABLED_unproven,UNKNOWN,UNKNOWN,SSRF-safe fetch + auth-first,PASS_contract,gemini key/local RPC; no live video probe
help_assistant,POST /api/v1/help/assistant,tenant,member+,rule KB (not LLM),n/a,DETERMINISTIC,DETERMINISTIC,DETERMINISTIC,help auth tests,PASS,none
ai_requests_jobs,GET /api/v1/ai/requests*,tenant; lite 403,member+,job queue + AI_ANALYSIS_URL,n/a,aiConfigured=false local,aiConfigured=true staging,aiConfigured=false production,health + lite-gate tests,PASS_classified,AI_ANALYSIS_URL absent local/prod
ai_brain_intelligence,GET /api/v1/projects/:id/intelligence,tenant+project,member+,deterministic,n/a,DETERMINISTIC,DETERMINISTIC,DETERMINISTIC,intelligence smoke/docs,PASS,none
memory_feedback_evals_opt,/api/v1/ai/memory*|feedback|evals*|optimizations*,tenant,member+/admin,mostly deterministic / design,n/a,DESIGN_OR_DETERMINISTIC,UNKNOWN,UNKNOWN,no mass evals run,PASS_scoped,mass evals forbidden in phase
admin_ai_runtime,GET /api/v1/admin/ops/ai-runtime + admin/ai UI,tenant admin,admin,reads usage/audit,n/a,AVAILABLE_READ,AVAILABLE_READ,AVAILABLE_READ,admin surfaces present; health aiOperationalStatus configured_unverified,PASS,last verified success null without telemetry store
public_ai_demo,/[locale]/copilot mock UI,public,anon,none (mock),simulation labels,SIMULATION,SIMULATION,SIMULATION,i18n mockInterfaceTitle + claims contract,PASS,none
credentials_provider_probe,direct OpenAI chat completions,n/a,n/a,openai,n/a,KEY_VALID,n/a,n/a,ai_live_provider.sh credentials_provider_probe,PASS_not_product_live,must not satisfy --require-live
circuit_breaker,ai_provider_health table,service role,operators,shared global breaker,skip open providers,NOT_RESET,NOT_RESET,NOT_RESET,read-only; blast radius documented,PASS_documented,global breaker shared across tenants (mitigation: operator reset script; no state change in phase)
