surface,source,claim,current_evidence,allowed_wording,forbidden_wording,result,action,notes
P3 defer decision,docs/mobile/P3_ANDROID_DEFER_DECISION.md,Android deferred for first pilot (Option A),ACTIVE operational policy 2026-07-03; Phase 6 reconfirmed 2026-07-30,Android deferred; buildable foundation only,Android pilot-ready / Android required,PASS,none,Formal signature OPEN separately
P3 GO/NO-GO,docs/mobile/P3_ANDROID_GO_NO_GO.md,Option A defer accepted; MVP not authorized,P3 closed YES; Phase 6 note added,P3 closed with defer,Android MVP authorized,PASS,none,Owner signature remains OPEN
Pilot requirement,docs/mobile/P3_ANDROID_PILOT_REQUIREMENT.md,Android required for first pilot = NO,No newer mandate found 2026-07-30,Android not required for first pilot,Android mandatory for first pilot,PASS,none,FIRST_CLIENT_SCOPE_LOCK superseded
Historical scope lock,docs/launch/FIRST_CLIENT_SCOPE_LOCK.md,Android + iOS mandatory (2026-03-24),Historical STAGE-0; SUPERSEDED banner added,Historical snapshot only,Current first-pilot Android mandate,PASS,supersession banner,Do not invent owner signature
P2 checklist,docs/pilot/P2_PILOT_READINESS_CHECKLIST.md,Android deferred — not in client SLA,Aligned with Phase 6,Android deferred not promised,Android in pilot SLA,PASS,Phase 6 date note,Primary path web+iOS
Day0 GO/NO-GO,docs/launch/PILOT_DAY0_GO_NO_GO.md,Android required NO; deferred YES,Consistent with P3/Phase 6,Android not required,Android blocks Day0,PASS,none,STOP if Android-only later
P4 client brief,docs/launch/P4_CLIENT_PILOT_BRIEF.md,Public Google Play not in pilot,Honest,Not in pilot,Available on Google Play,PASS,none,No public Play CTA
Release channels,docs/pilot/RELEASE_CHANNELS_AND_ENVIRONMENTS.md,Previously claimed no Android app in repo,Apps exist; deferred foundation,Buildable foundation; Play NOT_AUTHORIZED,No Android app / Play available,PASS,corrected,Active docs hygiene
Diagnostics surfaces,docs/pilot/DIAGNOSTICS_SURFACES.md,Previously claimed no Android app in repo,Apps exist; diagnostics screen still absent,Deferred foundation; diagnostics optional later,No Android app in repo,PASS,corrected,Historical hygiene
Mobile pilot readiness,docs/release-hardening/MOBILE_PILOT_READINESS.md,Android presence + deferred status,Phase 6 Debug PASS documented,Deferred buildable foundation,Android pilot-ready / live FCM proven,PASS,updated,Profiles android_worker/android_manager
Truth index,docs/CURRENT_PROJECT_TRUTH_INDEX.md,Mobile store status incomplete; Android deferred,Phase 6 YES-DEFERRED noted,Android deferred; Debug PASS not pilot proof,Android ready for first pilot,PASS,updated,iOS Phase 5 separate
Android README,android/README.md,Implied offline sync product readiness,Clarified deferred + no durable offline queue,Engineering foundation deferred,Offline-first ready,PASS,corrected,Build command documented
Worker 100 report,docs/mobile/ANDROID_WORKER_100_COMPLETION_REPORT.md,Title could imply 100% product ready,Historical NOT READY + banner,Historical session completion NOT READY,Android Worker 100% pilot ready,PASS,supersession banner,Do not rewrite historical results
Manager 100 report,docs/mobile/ANDROID_MANAGER_100_COMPLETION_REPORT.md,Title could imply 100% product ready,Historical NOT READY + banner,Historical session completion NOT READY,Android Manager 100% pilot ready,PASS,supersession banner,Do not rewrite historical results
Public website messages,apps/web/messages/*.json,Android ready / Google Play download,No matching public claim found,No Android store CTA,Get it on Google Play,PASS,none,No public Play button
Public routes,apps/web/app/[locale]/(public)/*,Android/Play install links,No play.google / App Store Android CTA found,Contact/pilot CTAs only,Download Android app,PASS,none,Pilot-first CTAs unchanged
Firebase config,android/AiStroykaWorker/google-services.json,Production Firebase ready,PLACEHOLDER project class; package MATCH,Firebase compile wiring YES,Live FCM proven / production push ready,PASS,none,Do not replace placeholders in deferred track
FCM wiring,WorkerFirebaseMessagingService + plugin,Push delivery ready,Compile/manifest wiring present; Phase 4 live FCM BLOCKED_EXTERNAL,Compile wiring YES; live FCM BLOCKED_EXTERNAL,Live FCM proven,PASS,none,No push send attempted
Signing local,android/keystore.properties + keystore file,Release signed for Play,Local config PRESENT (sanitized); no Play upload,Release signing config PRESENT locally,Play production ready,PASS,none,Values not disclosed
Play service account,android/.secrets/google-play-service-account.json,Play upload ready,MISSING,Google Play internal NOT_AUTHORIZED,Uploaded to Play internal,PASS,none,Mode B gates unchanged
Signed AAB,bundleRelease / Play evidence,Signed AAB proven this phase,NOT run as Play proof (assembleRelease only via photo-bypass guard),Debug buildability PASS; AAB not claimed,Signed AAB for Play ready,PASS,none,Do not equate Debug/Release APK with Play
Brand tokens,scripts/mobile/check-mobile-brand-drift.mjs,Brand aligned to web tokens,check-mobile-brand-drift PASS,Brand drift check PASS,Redesigned Android product,PASS,none,No redesign performed
Phase 4 matrix,docs/roadmap/AISTROYKA_PHASE4_MOBILE_BACKEND_MATRIX.csv,Android worker/manager contracts,Compile-time callsites still match matrix profiles/paths,Compile-time API parity YES; runtime device proof absent,Android E2E pilot-ready,PASS,none,No live mutations
Offline parity,Android Worker vs iOS queue,Offline-first ready,Durable queue NOT implemented on Android,Offline parity not claimed,Offline-first ready,PASS,none,Out of deferred scope
