id,kind,labelText,pageRoute,target,sourceFile,line,notes
generated.apps.web.app.locale.dashboard.admin.ai.page.tsx.16,Link,Security events →,/{locale}/admin/ai,/admin/ai/security,apps/web/app/[locale]/(dashboard)/admin/ai/page.tsx,16,generated id; no data-testid
generated.apps.web.app.locale.dashboard.admin.ai.page.tsx.19,Link,Request ID explorer →,/{locale}/admin/ai,/admin/ai/requests,apps/web/app/[locale]/(dashboard)/admin/ai/page.tsx,19,generated id; no data-testid
generated.apps.web.app.locale.dashboard.admin.ai.requests.page.tsx.16,Link,← Overview,/{locale}/admin/ai/requests,/admin/ai,apps/web/app/[locale]/(dashboard)/admin/ai/requests/page.tsx,16,generated id; no data-testid
generated.apps.web.app.locale.dashboard.admin.ai.security.page.tsx.16,Link,← Overview,/{locale}/admin/ai/security,/admin/ai,apps/web/app/[locale]/(dashboard)/admin/ai/security/page.tsx,16,generated id; no data-testid
generated.apps.web.app.locale.dashboard.admin.billing.pilot.AdminBillingPilotClient.tsx.128,button,tDetail(lookup),/{locale}/admin/billing-pilot,() => lookupId && fetchDiagnostics(lookupId),apps/web/app/[locale]/(dashboard)/admin/billing-pilot/AdminBillingPilotClient.tsx,128,generated id; no data-testid
generated.apps.web.app.locale.dashboard.admin.billing.pilot.AdminBillingPilotClient.tsx.fallback.130,button,,/{locale}/admin/billing-pilot,onClick=,apps/web/app/[locale]/(dashboard)/admin/billing-pilot/AdminBillingPilotClient.tsx,130,fallback text scan
generated.apps.web.app.locale.dashboard.admin.billing.pilot.AdminBillingPilotClient.tsx.194,button,tDetail(reprocessEvents),/{locale}/admin/billing-pilot,() => reprocessWorkspaceEvents(diagnostics.workspaceId),apps/web/app/[locale]/(dashboard)/admin/billing-pilot/AdminBillingPilotClient.tsx,194,generated id; no data-testid
generated.apps.web.app.locale.dashboard.admin.billing.pilot.AdminBillingPilotClient.tsx.fallback.196,button,,/{locale}/admin/billing-pilot,onClick=,apps/web/app/[locale]/(dashboard)/admin/billing-pilot/AdminBillingPilotClient.tsx,196,fallback text scan
generated.apps.web.app.locale.dashboard.admin.billing.pilot.AdminBillingPilotClient.tsx.203,button,tDetail(removeFromPilot),/{locale}/admin/billing-pilot,() => removeFromPilot(diagnostics.workspaceId),apps/web/app/[locale]/(dashboard)/admin/billing-pilot/AdminBillingPilotClient.tsx,203,generated id; no data-testid
generated.apps.web.app.locale.dashboard.admin.billing.pilot.AdminBillingPilotClient.tsx.fallback.205,button,,/{locale}/admin/billing-pilot,onClick=,apps/web/app/[locale]/(dashboard)/admin/billing-pilot/AdminBillingPilotClient.tsx,205,fallback text scan
generated.apps.web.app.locale.dashboard.admin.billing.pilot.AdminBillingPilotClient.tsx.212,button,tDetail(addToPilot),/{locale}/admin/billing-pilot,() => addToPilot(diagnostics.workspaceId),apps/web/app/[locale]/(dashboard)/admin/billing-pilot/AdminBillingPilotClient.tsx,212,generated id; no data-testid
