id,application,role,user_goal,route_or_screen,linked_api,states_loading_empty_error_denied_offline,auth_requirement,source_evidence,runtime_screenshot,status,roadmap_expectation,gap,design_token_family,a11y_evidence_limit
PUB-HOME,Public Web,guest,Discover product,/[locale],static+i18n,loaded,none,origin/main 02baa6a,evidence/web/public/01_home_* ,WORKS,Public pilot-first CTA,none for core discovery,--aistroyka-* + Liquid Glass utilities,DOM keyboard sample only (home EN/RU)
PUB-FEATURES,Public Web,guest,Understand capabilities,/[locale]/features,static,loaded,none,code+(public)/features,evidence/web/public/04_features_en_desktop.png,WORKS,Capability catalog,none,LG public,screenshot+DOM not SR
PUB-CONTACT,Public Web,guest,Start pilot conversation,/[locale]/contact,POST /api/contact,idle/sending/success/error,none,ContactForm.tsx,evidence/web/public/05_contact_en_desktop.png,WORKS,Pilot intake CTA,form submit not exercised in audit,LG public,screenshot
PUB-PRIVACY,Public Web,guest,Read privacy policy,/[locale]/privacy,i18n placeholder,placeholder banner,none,privacy/page.tsx + messages,evidence/web/public/06_privacy_en_desktop.png + 13_privacy_*,PARTIAL,R1 legal ready,Placeholder legal content still shipped,LG public,screenshot+DOM
PUB-TERMS,Public Web,guest,Read terms,/[locale]/terms,i18n placeholder,placeholder banner,none,terms/page.tsx,evidence/web/public/07_terms_en_desktop.png,PARTIAL,R1 legal ready,Placeholder legal content still shipped,LG public,screenshot
PUB-404,Public Web,guest,Recover from bad URL,/[locale]/*,Next not-found,404 page,none,runtime,evidence/web/public/10_404_en_desktop.png,WORKS,Error recovery,minimal styling vs marketing shell,mixed,screenshot
PUB-COPILOT,Public Web,guest,See AI copilot story,/[locale]/copilot,mock UI only,mock labeled,none,CopilotMockUI.tsx,evidence/web/public/08_copilot_en_desktop.png,WORKS,Marketing mock OK if labeled,Must stay non-LIVE,LG public,screenshot
PUB-AIDEMO,Public Web,guest,Try mock AI,/[locale]/ai-demo,mock,mock labeled,none,ai-demo page,evidence/web/ai/09_ai_demo_en_desktop.png,WORKS,Mock demo,Do not confuse with LIVE AI,LG public,screenshot
AUTH-LOGIN,Public Web,guest,Sign in,/[locale]/login,POST /api/v1/auth/login + OAuth,idle/submitting/error; debug step visible,guest,login/page.tsx,evidence/web/auth/02_login_*,WORKS,Auth entry,Debug 'Login step: idle' visible; no forgot-password link,cabinet-adjacent tokens,DOM keyboard sample
AUTH-REGISTER,Public Web,guest,Create account,/[locale]/register,Supabase+/api/v1/auth,form states,guest,register page,evidence/web/auth/03_register_en_desktop.png,WORKS,Signup,Parity polish vs login,cabinet-adjacent,screenshot
