route_or_api,locale,actor,expected_access,guard,mode,unit_proof,browser_proof,result,blocker
/{locale}/platform-admin,all,anonymous,login_redirect_with_next,middleware+layout,read,middleware.host-routing+page_gate,phase3d_anonymous_x3,YES,none
/{locale}/platform-admin,all,platform_owner,allow_shell,assertPlatformOwnerPageAccess,read,layout+shell_tests,phase3d_positive_x3,YES,none
/{locale}/platform-admin,all,auth_tenant_admin_no_grant,deny_403_or_forbidden,middleware+layout,read,middleware_gate_tests,phase3d_negative_x3,YES,none
/{locale}/admin,all,auth_tenant_admin_no_grant,allow_tenant_admin_shell,tenant_admin_layout,read,admin_nav_contract,phase3d_negative_x3,YES,none
/{locale}/platform-admin/billing,all,platform_owner,allow,page_gate,read,page_exists+api_billing_tests,phase3d_positive_x3,YES,none
/{locale}/platform-admin/billing,all,auth_tenant_admin_no_grant,deny,page_gate,read,middleware_gate_tests,phase3d_negative_x3,YES,none
/{locale}/platform-admin/leads,all,platform_owner,allow,page_gate,read,page_exists+leads_route_tests,phase3d_positive_x3,YES,none
/{locale}/platform-admin/leads,all,auth_tenant_admin_no_grant,deny,page_gate,read,middleware_gate_tests,phase3d_negative_x3,YES,none
/{locale}/platform-admin/testing,all,platform_owner,allow_ops_center,page_gate+RomaQaCenterShell,read,roma_qa_center_routes+nav,phase3d_positive_x3,YES,none
/{locale}/platform-admin/testing,all,auth_tenant_admin_no_grant,deny,page_gate,read,middleware_gate_tests,phase3d_negative_x3,YES,none
/{locale}/platform-admin/testing/safe-audit,all,platform_owner,allow_refresh_no_save,page_gate,read_plus_optional_write_ui,safe_audit_taxonomy+a11y_source,phase3d_positive_x3,YES,none
/{locale}/platform-admin/testing/safe-audit,all,auth_tenant_admin_no_grant,deny,page_gate,read,middleware_gate_tests,phase3d_negative_x3,YES,none
/{locale}/platform-admin/testing/audit-runs,all,platform_owner,allow_history_empty_or_list,page_gate,read,roma_run_history_tests,phase3d_positive_x3,YES,none
/{locale}/platform-admin/testing/quality-graph,all,platform_owner,allow,page_gate,read,roma_quality_graph_tests,phase3d_positive_x3,YES,none
/{locale}/platform-admin/testing/test-catalog,all,platform_owner,allow_execution_disabled,page_gate,read,roma_test_catalog_tests,phase3d_positive_x3,YES,none
/{locale}/platform-admin/testing/change-intelligence,all,platform_owner,allow,page_gate,read,roma_change_intelligence_tests,phase3d_positive_x3,YES,none
/{locale}/platform-admin/testing/execution-planner,all,platform_owner,allow_plan_only,page_gate,read,roma_execution_planner_tests,phase3d_positive_x3,YES,none
/{locale}/platform-admin/testing/execution-engine,all,platform_owner,allow_policy_no_run,page_gate,read,roma_execution_engine_policy_tests,phase3d_positive_x3,YES,none
